Id,Label,timeset,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
师陀(1945),师陀,,author,"#B4B4B4",273,1225,0.759547,2,0.638861,0.717357,1200.005176
张大任(1945),张大任,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
愚公(1945),愚公,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
晓歌(1945),晓歌,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
曾昭抡(1945),曾昭抡,,author,"#B4B4B4",222,888,0.317139,2,0.60735,0.676752,1152.208481
李兆安(1945),李兆安,,author,"#B4B4B4",104,582,0.170607,3,0.481965,0.542728,0
柳亚子(1945),柳亚子,,author,"#B4B4B4",477,1909,1,2,0.806162,0.879777,13081.212994
楚图南(1945),楚图南,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
毅生(1945),毅生,,author,"#B4B4B4",44,186,0.023721,3,0.484942,0.513004,0
求思(1945),求思,,author,"#B4B4B4",104,582,0.170607,3,0.481965,0.542728,0
沈志远(1945),沈志远,,author,"#B4B4B4",394,1378,0.914275,2,0.728538,0.813694,6075.739003
潮声(1945),潮声,,author,"#B4B4B4",92,570,0.079462,3,0.503609,0.551221,0
王少燕(1945),王少燕,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
祝世康(1945),祝世康,,author,"#B4B4B4",128,360,0.092975,3,0.51858,0.579883,1403.943506
秋斯(1945),秋斯,,author,"#B4B4B4",104,582,0.170607,3,0.481965,0.542728,0
罗加正(1945),罗加正,,author,"#B4B4B4",44,186,0.023721,3,0.484942,0.513004,0
罗涵先(1945),罗涵先,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
肥遯(1945),肥遯,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
胡毅(1945),胡毅,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
若愚(1945),若愚,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
范华农(1945),范华农,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
迈之(1945),迈之,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
邓初民(1945),邓初民,,author,"#B4B4B4",376,1608,0.392312,2,0.713636,0.799363,17895.186805
郭绍虞(1945),郭绍虞,,author,"#B4B4B4",273,927,0.759547,2,0.638861,0.717357,1200.005176
问梁(1945),问梁,,author,"#B4B4B4",92,570,0.079462,3,0.503609,0.551221,0
静远(1945),静远,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
顾均正(1945),顾均正,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
马丁(1945),马丁,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
高克奇(1945),高克奇,,author,"#B4B4B4",97,435,0.148421,2,0.541846,0.577229,0
黄巨兴(1945),黄巨兴,,author,"#B4B4B4",133,741,0.196615,2,0.559216,0.605892,0
黄裳(1945),黄裳,,author,"#B4B4B4",187,1029,0.667305,2,0.587465,0.648885,0
一民(1945),一民,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
严景曜(1945),严景曜,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
亚槐(1945),亚槐,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
光年(1945),光年,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
其良(1945),其良,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
农慕之(1945),农慕之,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
冬予里(1945),冬予里,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
冯玉祥(1945),冯玉祥,,author,"#B4B4B4",271,835,0.754539,2,0.637563,0.715764,1013.107042
凤子(1945),凤子,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
刘逸(1945),刘逸,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
刘铁华(1945),刘铁华,,author,"#B4B4B4",273,1078,0.759547,2,0.638861,0.717357,1200.005176
力扬(1945),力扬,,author,"#B4B4B4",271,835,0.754539,2,0.637563,0.715764,1013.107042
千里(1945),千里,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
华心(1945),华心,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
华阳(1945),华阳,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
卢蕻(1945),卢蕻,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
叶圣陶(1945),叶圣陶,,author,"#B4B4B4",357,1031,0.846782,2,0.698554,0.784236,5320.207246
吴斐丹(1945),吴斐丹,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
吴清友(1945),吴清友,,author,"#B4B4B4",184,529,0.212219,2,0.585821,0.646497,1366.76634
周予同(1945),周予同,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
周伯棣(1945),周伯棣,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
周谷城(1945),周谷城,,author,"#B4B4B4",37,114,0.01675,3,0.482335,0.507431,0
夏衍(1945),夏衍,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
外卢(1945),外卢,,author,"#B4B4B4",37,114,0.01675,3,0.482335,0.507431,0
夷初(1945),夷初,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
奴齐(1945),奴齐,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
娄立齐(1945),娄立齐,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
子敬(1945),子敬,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
孟心坚(1945),孟心坚,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
宾符(1945),宾符,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
尚丁(1945),尚丁,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
屠西(1945),屠西,,author,"#B4B4B4",271,637,0.754539,2,0.637563,0.715764,1013.107042
巴金(1945),巴金,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
张子毅(1945),张子毅,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
张澜(1945),张澜,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
张申府(1945),张申府,,author,"#B4B4B4",223,548,0.221283,2,0.607938,0.677548,3092.442755
张若达(1945),张若达,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
徐植(1945),徐植,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
拾风(1945),拾风,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
曹刚(1945),曹刚,,author,"#B4B4B4",316,841,0.839526,2,0.668085,0.751592,4088.266518
曹萝阳(1945),曹萝阳,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
李公樸(1945),李公樸,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
李凌飞(1945),李凌飞,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
李及(1945),李及,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
李战林(1945),李战林,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
李玄伯(1945),李玄伯,,author,"#B4B4B4",273,735,0.759547,2,0.638861,0.717357,1200.005176
杨刚(1945),杨刚,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
柏寒(1945),柏寒,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
柳诒(1945),柳诒,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
梁漱溟(1945),梁漱溟,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
沈涛(1945),沈涛,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
洛扬(1945),洛扬,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
燕士(1945),燕士,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
王以中(1945),王以中,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
王伯祥(1945),王伯祥,,author,"#B4B4B4",273,884,0.759547,2,0.638861,0.717357,1200.005176
王沿津(1945),王沿津,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
王铁华(1945),王铁华,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
端木泉(1945),端木泉,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
胡剑(1945),胡剑,,author,"#B4B4B4",234,692,0.355245,2,0.614481,0.686306,3291.218055
艾秋飙(1945),艾秋飙,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
苏尔齐伯格(1945),苏尔齐伯格,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
范蕙(1945),范蕙,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
萧明(1945),萧明,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
葭水(1945),葭水,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
袁西华(1945),袁西华,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
许傑(1945),许傑,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
许杰(1945),许杰,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
费稳(1945),费稳,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
贺依(1945),贺依,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
郑森禹(1945),郑森禹,,author,"#B4B4B4",104,390,0.170607,3,0.481965,0.542728,0
郭沫若(1945),郭沫若,,author,"#B4B4B4",224,802,0.680582,2,0.608527,0.678344,6780.360071
金枫(1945),金枫,,author,"#B4B4B4",273,884,0.759547,2,0.638861,0.717357,1200.005176
镜民(1945),镜民,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
陆钦墀(1945),陆钦墀,,author,"#B4B4B4",316,841,0.839526,2,0.668085,0.751592,4088.266518
陈康成(1945),陈康成,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
陈志中(1945),陈志中,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
陈曦(1945),陈曦,,author,"#B4B4B4",92,382,0.079462,3,0.503609,0.551221,0
陈鼎龢(1945),陈鼎龢,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
项黎(1945),项黎,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
马哲民(1945),马哲民,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
骆闻(1945),骆闻,,author,"#B4B4B4",97,292,0.148421,2,0.541846,0.577229,0
高扬(1945),高扬,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
魏矢(1945),魏矢,,author,"#B4B4B4",44,126,0.023721,3,0.484942,0.513004,0
鲁小詹(1945),鲁小詹,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
鲍乐蒂(1945),鲍乐蒂,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
黄药眠(1945),黄药眠,,author,"#B4B4B4",133,496,0.196615,2,0.559216,0.605892,0
黎舫(1945),黎舫,,author,"#B4B4B4",187,688,0.667305,2,0.587465,0.648885,0
Bercovici，K.(1945),Bercovici，K.,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
Clark，B.(1945),Clark，B.,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
F._Geyrasi(1945),F._Geyrasi,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
Hogg，P.(1945),Hogg，P.,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
Milner，I.(1945),Milner，I.,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
一学生(1945),一学生,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
一生(1945),一生,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
丁一(1945),丁一,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
丁易(1945),丁易,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
丁玲(1945),丁玲,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
丁西林(1945),丁西林,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
万影(1945),万影,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
万英(1945),万英,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
不耳(1945),不耳,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
丘八大(1945),丘八大,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
东方晦之(1945),东方晦之,,author,"#B4B4B4",273,541,0.759547,2,0.638861,0.717357,1200.005176
严亚明(1945),严亚明,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
严信民(1945),严信民,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
严克(1945),严克,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
严奇(1945),严奇,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
严景矅(1945),严景矅,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
严问天(1945),严问天,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
丹尼尔(1945),丹尼尔,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
于蒪(1945),于蒪,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
以君(1945),以君,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
任华(1945),任华,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
任四维(1945),任四维,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
伊利奥特(1945),伊利奥特,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
伍同伐(1945),伍同伐,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
伍启元(1945),伍启元,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
伯伟(1945),伯伟,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
伯华(1945),伯华,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
伯韩(1945),伯韩,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
但维斯(1945),但维斯,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
何其芳(1945),何其芳,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
何惧(1945),何惧,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
何方(1945),何方,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
何达(1945),何达,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
余伯约(1945),余伯约,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
余剡溪(1945),余剡溪,,author,"#B4B4B4",271,492,0.754539,2,0.637563,0.715764,1013.107042
侯外卢(1945),侯外卢,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
侯外庐(1945),侯外庐,,author,"#B4B4B4",184,339,0.212219,2,0.585821,0.646497,1366.76634
俊生(1945),俊生,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
俞焕文(1945),俞焕文,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
傅彬然(1945),傅彬然,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
傅雷(1945),傅雷,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
光军(1945),光军,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
光涛(1945),光涛,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
全杨(1945),全杨,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
公健(1945),公健,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
公孙未央(1945),公孙未央,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
再生侯北人(1945),再生侯北人,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
冯乃超(1945),冯乃超,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
冯克(1945),冯克,,author,"#B4B4B4",394,741,0.914275,2,0.728538,0.813694,6075.739003
冯少山(1945),冯少山,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
冶人(1945),冶人,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
冷红(1945),冷红,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
冷遹(1945),冷遹,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
冷风(1945),冷风,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
刘尊棋(1945),刘尊棋,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
刘清扬(1945),刘清扬,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
刘瑞林(1945),刘瑞林,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
劳莹(1945),劳莹,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
北人(1945),北人,,author,"#B4B4B4",271,492,0.754539,2,0.637563,0.715764,1013.107042
华臣(1945),华臣,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
卢剑公(1945),卢剑公,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
卢铎(1945),卢铎,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
友非(1945),友非,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
反对内战(1945),反对内战,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
叔伟(1945),叔伟,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
叔梁(1945),叔梁,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
史国卫(1945),史国卫,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
史笃(1945),史笃,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
叶君(1945),叶君,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
叶文雄(1945),叶文雄,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
司马星(1945),司马星,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
吉人(1945),吉人,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
吕剑(1945),吕剑,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
吕德润(1945),吕德润,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
吴世昌(1945),吴世昌,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
吴大琨(1945),吴大琨,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
吴晓(1945),吴晓,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
吴王琨(1945),吴王琨,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
吴祖光(1945),吴祖光,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
吴纪(1945),吴纪,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
吴荣甲(1945),吴荣甲,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
吴藻溪(1945),吴藻溪,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
吴铁(1945),吴铁,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
周依维(1945),周依维,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
周先庚(1945),周先庚,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
周振甫(1945),周振甫,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
周斧冰(1945),周斧冰,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
周波(1945),周波,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
周煦良(1945),周煦良,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
周知(1945),周知,,author,"#B4B4B4",137,211,0.161467,2,0.561215,0.609076,892.955086
唐庆增(1945),唐庆增,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
唐弢(1945),唐弢,,author,"#B4B4B4",273,541,0.759547,2,0.638861,0.717357,1200.005176
唐秉文(1945),唐秉文,,author,"#B4B4B4",187,345,0.667305,2,0.587465,0.648885,0
坦宁保姆(1945),坦宁保姆,,author,"#B4B4B4",37,58,0.01675,3,0.482335,0.507431,0
夏孟辉(1945),夏孟辉,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
夏炎德(1945),夏炎德,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
夏迪蒙(1945),夏迪蒙,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
大愿(1945),大愿,,author,"#B4B4B4",92,192,0.079462,3,0.503609,0.551221,0
大荒(1945),大荒,,author,"#B4B4B4",44,64,0.023721,3,0.484942,0.513004,0
天凡(1945),天凡,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
天父(1945),天父,,author,"#B4B4B4",133,249,0.196615,2,0.559216,0.605892,0
天顽(1945),天顽,,author,"#B4B4B4",104,196,0.170607,3,0.481965,0.542728,0
奥凯(1945),奥凯,,author,"#B4B4B4",97,147,0.148421,2,0.541846,0.577229,0
