"","Source","Target","Type","Id","Weight","place"
"130","不可","《时代杂志》","Directed",153,3,"上海"
"131","不怕","《国讯》","Directed",154,2,"上海"
"132","不要","《国讯》","Directed",155,4,"上海"
"133","世界","《中央周刊》","Directed",156,61,"南京"
"134","世界","《国讯》","Directed",157,38,"上海"
"135","两月记","《时代杂志》","Directed",161,2,"上海"
"136","中国","《中华论坛》","Directed",162,12,"重庆"
"137","中国","《国讯》","Directed",164,76,"上海"
"138","中国","《民主(上海)》","Directed",166,34,"上海"
"139","中国","《民主(重庆)》","Directed",167,12,"重庆"
"140","义务劳动","《中央周刊》","Directed",169,2,"重庆"
"141","书报","《中央周刊》","Directed",171,24,"南京"
"142","二十八年","《时代杂志》","Directed",174,2,"上海"
"143","二十周年","《时代杂志》","Directed",175,2,"上海"
"144","二百","《时代杂志》","Directed",176,2,"上海"
"145","云南","《国讯》","Directed",177,7,"上海"
"146","五千万","《民主(重庆)》","Directed",178,2,"重庆"
"147","人为","《民主(上海)》","Directed",179,3,"上海"
"148","人民","《民主(上海)》","Directed",180,26,"上海"
"149","人民","《民主周刊(昆明)》","Directed",181,21,"昆明"
"150","人间","《周报(上海1945)》","Directed",186,2,"上海"
"151","人间","《民主周刊(昆明)》","Directed",187,2,"昆明"
"152","今后","《中央周刊》","Directed",188,8,"南京"
"153","介绍","《国讯》","Directed",189,3,"上海"
"154","从军","《中央周刊》","Directed",190,2,"重庆"
"155","会议","《中华论坛》","Directed",191,6,"重庆"
"156","会议","《民主(上海)》","Directed",195,6,"上海"
"157","伟大","《时代杂志》","Directed",198,39,"上海"
"158","伦敦","《国讯》","Directed",199,4,"上海"
"159","保加利亚","《时代杂志》","Directed",200,5,"上海"
"160","保障","《民主周刊(昆明)》","Directed",201,4,"昆明"
"161","信条","《国讯》","Directed",202,2,"上海"
"162","信箱","《中央周刊》","Directed",203,9,"南京"
"163","假如","《中央周刊》","Directed",204,3,"南京"
"164","先生","《国讯》","Directed",205,25,"上海"
"165","先生","《文萃》","Directed",206,43,"上海"
"166","克制性","《时代杂志》","Directed",209,2,"上海"
"167","克里米亚","《中央周刊》","Directed",210,3,"重庆"
"168","全世界","《时代杂志》","Directed",211,16,"上海"
"169","全貌","《时代杂志》","Directed",212,7,"上海"
"170","八一","《国讯》","Directed",214,7,"上海"
"171","八年","《中央周刊》","Directed",216,10,"南京"
"172","八年","《周报(上海1945)》","Directed",217,2,"上海"
"173","内战","《国讯》","Directed",218,14,"上海"
"174","内战","《文萃》","Directed",219,28,"上海"
"175","内战","《民主(重庆)》","Directed",220,13,"重庆"
"176","写作","《时代杂志》","Directed",221,2,"上海"
"177","农村","《民主周刊(昆明)》","Directed",222,5,"昆明"
"178","准备","《民主周刊(昆明)》","Directed",224,3,"昆明"
"179","几个","《周报(上海1945)》","Directed",225,3,"上海"
"180","列宁","《时代杂志》","Directed",226,45,"上海"
"181","制度","《中央周刊》","Directed",228,13,"南京"
"182","加里宁","《时代杂志》","Directed",229,3,"上海"
"183","动态","《国讯》","Directed",230,6,"上海"
"184","助手","《时代杂志》","Directed",231,2,"上海"
"185","努力","《民主周刊(昆明)》","Directed",232,3,"昆明"
"186","劳动阶级","《时代杂志》","Directed",233,2,"上海"
"187","势力","《时代杂志》","Directed",234,10,"上海"
"188","十月革命","《时代杂志》","Directed",235,19,"上海"
"189","十月革命","《民主(重庆)》","Directed",236,2,"重庆"
"190","华沙","《民主周刊(昆明)》","Directed",237,2,"昆明"
"191","协调","《国讯》","Directed",238,2,"上海"
"192","卫国战争","《时代杂志》","Directed",239,8,"上海"
"193","危机","《民主周刊(昆明)》","Directed",240,5,"昆明"
"194","历史","《周报(上海1945)》","Directed",241,5,"上海"
"195","历史","《民主周刊(昆明)》","Directed",242,7,"昆明"
"196","原因","《时代杂志》","Directed",243,6,"上海"
"197","原子弹","《民主(重庆)》","Directed",244,3,"重庆"
"198","原子能","《周报(上海1945)》","Directed",245,2,"上海"
"199","参政会","《国讯》","Directed",246,6,"上海"
"200","参政会","《民主周刊(昆明)》","Directed",247,4,"昆明"
"201","双周刊","《时代杂志》","Directed",248,2,"上海"
"202","各界","《民主(重庆)》","Directed",250,4,"重庆"
"203","名辩","《中华论坛》","Directed",251,2,"重庆"
"204","吕宋","《中央周刊》","Directed",252,2,"重庆"
"205","和平","《国讯》","Directed",254,42,"上海"
"206","和平","《民主周刊(昆明)》","Directed",256,6,"昆明"
"207","四万","《民主(重庆)》","Directed",257,2,"重庆"
"208","四十二年","《中央周刊》","Directed",258,2,"重庆"
"209","国内","《国讯》","Directed",259,4,"上海"
"210","国大","《国讯》","Directed",260,4,"上海"
"211","国民大会","《民主周刊(昆明)》","Directed",261,3,"昆明"
"212","国际局势","《时代杂志》","Directed",263,2,"上海"
"213","圣人","《中央周刊》","Directed",264,2,"重庆"
"214","地理","《周报(上海1945)》","Directed",265,2,"上海"
"215","复兴","《中央周刊》","Directed",266,11,"南京"
"216","复员","《中央周刊》","Directed",267,20,"南京"
"217","外长","《民主(上海)》","Directed",271,3,"上海"
"218","外长","《民主周刊(昆明)》","Directed",272,3,"昆明"
"219","大会","《中央周刊》","Directed",273,7,"南京"
"220","大会","《民主(重庆)》","Directed",274,4,"重庆"
"221","大陆","《中央周刊》","Directed",275,4,"南京"
"222","失业","《周报(上海1945)》","Directed",276,2,"上海"
"223","委託","《中央周刊》","Directed",277,2,"重庆"
"224","学习","《时代杂志》","Directed",278,9,"上海"
"225","学术","《时代杂志》","Directed",279,6,"上海"
"226","学术研究","《中央周刊》","Directed",280,5,"重庆"
"227","安定","《周报(上海1945)》","Directed",282,3,"上海"
"228","对华政策","《民主周刊(昆明)》","Directed",285,6,"昆明"
"229","对外","《时代杂志》","Directed",286,11,"上海"
"230","对於","《中央周刊》","Directed",287,33,"南京"
"231","对策","《民主周刊(昆明)》","Directed",288,3,"昆明"
"232","展望","《周报(上海1945)》","Directed",289,5,"上海"
"233","工业","《时代杂志》","Directed",290,14,"上海"
"234","工作","《中央周刊》","Directed",291,18,"南京"
"235","工作","《国讯》","Directed",293,3,"上海"
"236","巴尔干","《时代杂志》","Directed",294,2,"上海"
"237","布达佩斯","《时代杂志》","Directed",295,2,"上海"
"238","希特勒","《时代杂志》","Directed",296,12,"上海"
"239","希腊","《中央周刊》","Directed",297,6,"南京"
"240","希腊","《时代杂志》","Directed",298,37,"上海"
"241","平底","《民主周刊(昆明)》","Directed",299,2,"昆明"
"242","应否","《民主周刊(昆明)》","Directed",300,2,"昆明"
"243","建国","《中央周刊》","Directed",301,24,"南京"
"244","建设","《中央周刊》","Directed",303,40,"南京"
"245","廿四","《时代杂志》","Directed",306,3,"上海"
"246","开发","《周报(上海1945)》","Directed",307,2,"上海"
"247","归来","《中央周刊》","Directed",308,9,"南京"
"248","待续","《周报(上海1945)》","Directed",309,2,"上海"
"249","必须","《中央周刊》","Directed",313,7,"南京"
"250","思想","《中央周刊》","Directed",314,17,"南京"
"251","思想","《周报(上海1945)》","Directed",315,4,"上海"
"252","思潮","《中华论坛》","Directed",316,2,"重庆"
"253","恢复","《民主周刊(昆明)》","Directed",317,2,"昆明"
"254","恩格斯","《时代杂志》","Directed",318,2,"上海"
"255","成功","《国讯》","Directed",319,3,"上海"
"256","成都","《民主(重庆)》","Directed",320,2,"重庆"
"257","我国","《中央周刊》","Directed",321,24,"南京"
"258","战争","《中央周刊》","Directed",322,8,"南京"
"259","战争","《时代杂志》","Directed",323,27,"上海"
"260","战地","《时代杂志》","Directed",326,3,"上海"
"261","战局","《国讯》","Directed",327,59,"上海"
"262","战斗员","《时代杂志》","Directed",329,2,"上海"
"263","战时","《中央周刊》","Directed",330,13,"南京"
"264","战略","《中央周刊》","Directed",331,8,"南京"
"265","战略","《时代杂志》","Directed",332,3,"上海"
"266","批判","《中华论坛》","Directed",333,2,"重庆"
"267","报酬","《中央周刊》","Directed",334,2,"重庆"
"268","掠夺者","《时代杂志》","Directed",335,2,"上海"
"269","推进","《民主周刊(昆明)》","Directed",336,3,"昆明"
"270","提议","《民主(上海)》","Directed",337,3,"上海"
"271","提高","《民主周刊(昆明)》","Directed",338,2,"昆明"
"272","改造","《民主周刊(昆明)》","Directed",339,2,"昆明"
"273","改革","《中央周刊》","Directed",340,14,"南京"
"274","政治","《中华论坛》","Directed",341,7,"重庆"
"275","政治","《再生》","Directed",342,74,"上海"
"276","政治","《国讯》","Directed",343,20,"上海"
"277","政治","《文萃》","Directed",344,18,"上海"
"278","政治","《时代杂志》","Directed",347,23,"上海"
"279","政治","《民主(重庆)》","Directed",348,8,"重庆"
"280","政治协商会议","《民主(上海)》","Directed",349,6,"上海"
"281","政策","《文萃》","Directed",350,10,"上海"
"282","政策","《时代杂志》","Directed",351,35,"上海"
"283","教育","《中华论坛》","Directed",352,3,"重庆"
"284","教育","《中央周刊》","Directed",353,21,"南京"
"285","教育","《国讯》","Directed",354,14,"上海"
"286","教育","《民主周刊(昆明)》","Directed",355,8,"昆明"
"287","文化","《中央周刊》","Directed",356,22,"南京"
"288","文化","《文萃》","Directed",357,8,"上海"
"289","文学","《民主周刊(昆明)》","Directed",358,2,"昆明"
"290","文学遗产","《周报(上海1945)》","Directed",359,2,"上海"
"291","新闻记者","《国讯》","Directed",360,2,"上海"
"292","方式","《民主周刊(昆明)》","Directed",361,3,"昆明"
"293","方面","《中央周刊》","Directed",362,2,"重庆"
"294","旅途","《周报(上海1945)》","Directed",363,5,"上海"
"295","无表情","《周报(上海1945)》","Directed",364,2,"上海"
"296","日寇","《国讯》","Directed",365,4,"上海"
"297","日本","《中央周刊》","Directed",366,42,"南京"
"298","日本","《民主(上海)》","Directed",369,7,"上海"
"299","日记","《时代杂志》","Directed",370,3,"上海"
"300","旧金山","《时代杂志》","Directed",371,2,"上海"
"301","昆明","《国讯》","Directed",373,14,"上海"
"302","昆明","《民主(上海)》","Directed",374,6,"上海"
"303","春秋","《中央周刊》","Directed",375,24,"南京"
"304","普鲁士","《时代杂志》","Directed",378,2,"上海"
"305","智识","《中央周刊》","Directed",379,3,"南京"
"306","最后","《周报(上海1945)》","Directed",380,4,"上海"
"307","有感","《民主(重庆)》","Directed",381,3,"重庆"
"308","未来","《周报(上海1945)》","Directed",382,2,"上海"
"309","本土","《中央周刊》","Directed",383,2,"重庆"
"310","杂志","《民主(上海)》","Directed",384,3,"上海"
"311","杂感","《民主(重庆)》","Directed",385,4,"重庆"
"312","杂记","《中央周刊》","Directed",386,7,"南京"
"313","杂记","《周报(上海1945)》","Directed",387,8,"上海"
"314","来的我","《中央周刊》","Directed",388,6,"南京"
"315","架沙","《民主周刊(昆明)》","Directed",389,2,"昆明"
"316","梵蒂冈","《时代杂志》","Directed",394,6,"上海"
"317","检讨","《中央周刊》","Directed",395,22,"南京"
"318","检讨","《周报(上海1945)》","Directed",396,2,"上海"
"319","检讨","《时代杂志》","Directed",397,5,"上海"
"320","欧战","《民主周刊(昆明)》","Directed",398,2,"昆明"
"321","欧洲","《民主周刊(昆明)》","Directed",400,7,"昆明"
"322","武训","《民主(重庆)》","Directed",402,2,"重庆"
"323","殖民地","《民主周刊(昆明)》","Directed",403,3,"昆明"
"324","民主","《中华论坛》","Directed",404,12,"重庆"
"325","民主","《再生》","Directed",405,65,"上海"
"326","民主","《周报(上海1945)》","Directed",408,19,"上海"
"327","民主","《文萃》","Directed",409,40,"上海"
"328","民主","《民主(重庆)》","Directed",412,24,"重庆"
"329","民族","《时代杂志》","Directed",421,48,"上海"
"330","民生","《周报(上海1945)》","Directed",422,4,"上海"
"331","法则","《时代杂志》","Directed",423,3,"上海"
"332","法国","《时代杂志》","Directed",424,25,"上海"
"333","活动","《时代杂志》","Directed",425,10,"上海"
"334","清末","《民主(重庆)》","Directed",427,2,"重庆"
"335","清理","《周报(上海1945)》","Directed",428,12,"上海"
"336","湘西","《国讯》","Directed",429,2,"上海"
"337","满意","《文萃》","Directed",430,2,"上海"
"338","爱好","《时代杂志》","Directed",431,11,"上海"
"339","物价","《国讯》","Directed",432,10,"上海"
"340","特写","《中央周刊》","Directed",435,4,"南京"
"341","特务","《民主周刊(昆明)》","Directed",436,2,"昆明"
"342","特稿","《文萃》","Directed",437,65,"上海"
"343","独立运动","《民主周刊(昆明)》","Directed",440,2,"昆明"
"344","现阶段","《中央周刊》","Directed",441,5,"南京"
"345","琉球","《中央周刊》","Directed",442,2,"重庆"
"346","生产","《国讯》","Directed",443,4,"上海"
"347","生命","《时代杂志》","Directed",444,2,"上海"
"348","生活","《时代杂志》","Directed",445,15,"上海"
"349","电贺","《时代杂志》","Directed",447,11,"上海"
"350","登陆","《中央周刊》","Directed",448,4,"重庆"
"351","监狱","《中央周刊》","Directed",449,2,"重庆"
"352","直捣","《时代杂志》","Directed",450,8,"上海"
"353","真理报","《时代杂志》","Directed",451,8,"上海"
"354","研究","《周报(上海1945)》","Directed",452,2,"上海"
"355","研究","《时代杂志》","Directed",453,66,"上海"
"356","社会","《周报(上海1945)》","Directed",456,4,"上海"
"357","社论","《中央周刊》","Directed",457,75,"南京"
"358","福斯","《周报(上海1945)》","Directed",459,4,"上海"
"359","第三","《时代杂志》","Directed",461,2,"上海"
"360","第八","《国讯》","Directed",462,6,"上海"
"361","签署","《时代杂志》","Directed",463,2,"上海"
"362","管见","《民主(上海)》","Directed",464,3,"上海"
"363","精神","《中央周刊》","Directed",465,13,"南京"
"364","组织","《时代杂志》","Directed",466,10,"上海"
"365","经济","《中央周刊》","Directed",467,51,"南京"
"366","经济","《民主周刊(昆明)》","Directed",471,5,"昆明"
"367","美国","《国讯》","Directed",472,56,"上海"
"368","职业","《国讯》","Directed",476,7,"上海"
"369","胜利","《民主周刊(昆明)》","Directed",479,8,"昆明"
"370","自由","《时代杂志》","Directed",480,33,"上海"
"371","苏联","《再生》","Directed",481,30,"上海"
"372","苏联","《民主(上海)》","Directed",490,4,"上海"
"373","英国","《国讯》","Directed",491,15,"上海"
"374","范先生","《民主(重庆)》","Directed",493,2,"重庆"
"375","莫斯科","《民主周刊(昆明)》","Directed",494,3,"昆明"
"376","获胜","《时代杂志》","Directed",495,2,"上海"
"377","萧条","《周报(上海1945)》","Directed",496,3,"上海"
"378","虹口","《中央周刊》","Directed",497,2,"重庆"
"379","行政","《中央周刊》","Directed",498,11,"南京"
"380","褫下","《民主周刊(昆明)》","Directed",499,2,"昆明"
"381","西班牙","《时代杂志》","Directed",500,17,"上海"
"382","西行","《中央周刊》","Directed",501,2,"重庆"
"383","覆电","《时代杂志》","Directed",502,3,"上海"
"384","认识","《中央周刊》","Directed",503,14,"南京"
"385","讲话","《民主(上海)》","Directed",504,8,"上海"
"386","译自","《时代杂志》","Directed",505,3,"上海"
"387","诗词","《国讯》","Directed",506,7,"上海"
"388","诚实","《民主周刊(昆明)》","Directed",507,2,"昆明"
"389","诸葛亮","《中央周刊》","Directed",508,3,"重庆"
"390","读史","《民主(上海)》","Directed",509,2,"上海"
"391","读报","《民主(重庆)》","Directed",510,2,"重庆"
"392","谈判","《民主周刊(昆明)》","Directed",511,2,"昆明"
"393","贫困","《周报(上海1945)》","Directed",512,2,"上海"
"394","贵阳","《国讯》","Directed",513,3,"上海"
"395","资本主义","《中央周刊》","Directed",514,3,"南京"
"396","越南","《民主周刊(昆明)》","Directed",515,2,"昆明"
"397","辩证法","《时代杂志》","Directed",516,2,"上海"
"398","边疆","《中央周刊》","Directed",517,12,"南京"
"399","运动史","《再生》","Directed",520,2,"重庆"
"400","逻辑","《民主(重庆)》","Directed",521,2,"重庆"
"401","重庆","《周报(上海1945)》","Directed",522,14,"上海"
"402","重庆","《民主(上海)》","Directed",524,3,"上海"
"403","问题","《中央周刊》","Directed",525,161,"南京"
"404","问题","《周报(上海1945)》","Directed",526,24,"上海"
"405","问题","《国讯》","Directed",527,53,"上海"
"406","问题","《民主(上海)》","Directed",529,28,"上海"
"407","问题","《民主周刊(昆明)》","Directed",530,27,"昆明"
"408","防禦","《中央周刊》","Directed",533,2,"重庆"
"409","阶段","《国讯》","Directed",534,5,"上海"
"410","降书","《时代杂志》","Directed",535,2,"上海"
"411","陪都","《民主(重庆)》","Directed",536,6,"重庆"
"412","雕像","《时代杂志》","Directed",537,12,"上海"
"413","青年","《再生》","Directed",540,5,"上海"
"414","青年","《民主周刊(昆明)》","Directed",541,11,"昆明"
"415","青年运动","《再生》","Directed",543,2,"重庆"
"416","香港","《周报(上海1945)》","Directed",544,2,"上海"
"417","马克思主义","《时代杂志》","Directed",545,3,"上海"
"418","高等教育","《民主(上海)》","Directed",548,3,"上海"
"419","鲁迅","《周报(上海1945)》","Directed",549,7,"上海"
"420","鲁迅","《文萃》","Directed",550,12,"上海"
"421","200","《周报(上海1945)》","Directed",551,1,"上海"
"422","40","《时代杂志》","Directed",552,1,"上海"
"423","Challenge","《民主(上海)》","Directed",553,1,"上海"
"424","China","《民主(上海)》","Directed",554,1,"上海"
"425","Red","《民主(上海)》","Directed",555,1,"上海"
"426","The","《民主(上海)》","Directed",556,1,"上海"
"427","一九四四年","《中央周刊》","Directed",557,1,"重庆"
"428","一九四四年","《国讯》","Directed",558,2,"上海"
"429","一二","《周报(上海1945)》","Directed",560,1,"上海"
"430","一二","《民主(重庆)》","Directed",561,2,"重庆"
"431","一二一","《民主周刊(昆明)》","Directed",564,1,"昆明"
"432","一二九","《民主(上海)》","Directed",565,1,"上海"
"433","一些","《周报(上海1945)》","Directed",566,1,"上海"
"434","一些","《国讯》","Directed",567,1,"上海"
"435","一些","《民主(上海)》","Directed",568,1,"上海"
"436","一代","《中央周刊》","Directed",569,2,"南京"
"437","一位","《国讯》","Directed",570,5,"上海"
"438","一党","《民主(上海)》","Directed",571,2,"上海"
"439","一切","《周报(上海1945)》","Directed",572,2,"上海"
"440","一切","《民主(重庆)》","Directed",574,1,"重庆"
"441","一切","《民主周刊(昆明)》","Directed",575,2,"昆明"
"442","一则","《中央周刊》","Directed",577,1,"重庆"
"443","一半","《国讯》","Directed",578,1,"上海"
"444","一号","《时代杂志》","Directed",579,1,"上海"
"445","一周年","《国讯》","Directed",580,1,"上海"
"446","一块","《民主周刊(昆明)》","Directed",581,1,"昆明"
"447","一夜","《时代杂志》","Directed",582,1,"上海"
"448","一大","《中央周刊》","Directed",583,1,"重庆"
"449","一大","《周报(上海1945)》","Directed",584,2,"上海"
"450","一定","《民主(重庆)》","Directed",585,1,"重庆"
"451","一家","《民主周刊(昆明)》","Directed",586,1,"昆明"
"452","一封","《中央周刊》","Directed",587,1,"重庆"
"453","一封信","《周报(上海1945)》","Directed",588,1,"上海"
"454","一席","《周报(上海1945)》","Directed",589,1,"上海"
"455","一年","《中央周刊》","Directed",590,7,"南京"
"456","一律","《周报(上海1945)》","Directed",592,1,"上海"
"457","一律","《民主(重庆)》","Directed",593,1,"重庆"
"458","一批","《民主周刊(昆明)》","Directed",594,1,"昆明"
"459","一支","《民主周刊(昆明)》","Directed",595,1,"昆明"
"460","一方","《国讯》","Directed",596,1,"上海"
"461","一条","《周报(上海1945)》","Directed",597,2,"上海"
"462","一次","《时代杂志》","Directed",598,1,"上海"
"463","一次","《民主周刊(昆明)》","Directed",599,1,"昆明"
"464","一步","《时代杂志》","Directed",600,1,"上海"
"465","一段","《国讯》","Directed",601,3,"上海"
"466","一点","《国讯》","Directed",603,2,"上海"
"467","一生","《文萃》","Directed",605,1,"上海"
"468","一百零七","《民主(重庆)》","Directed",606,1,"重庆"
"469","一瞥","《时代杂志》","Directed",607,5,"上海"
"470","一种","《周报(上海1945)》","Directed",608,2,"上海"
"471","一种","《文萃》","Directed",609,1,"上海"
"472","一种","《民主(重庆)》","Directed",610,1,"重庆"
"473","一种","《民主周刊(昆明)》","Directed",611,1,"昆明"
"474","一等","《周报(上海1945)》","Directed",612,1,"上海"
"475","一筹","《民主周刊(昆明)》","Directed",613,1,"昆明"
"476","一线","《文萃》","Directed",614,1,"上海"
"477","一线","《民主(重庆)》","Directed",615,1,"重庆"
"478","一线希望","《国讯》","Directed",616,1,"上海"
"479","一羣","《民主(重庆)》","Directed",617,1,"重庆"
"480","一群","《周报(上海1945)》","Directed",618,1,"上海"
"481","一般","《再生》","Directed",619,1,"重庆"
"482","一角","《周报(上海1945)》","Directed",620,1,"上海"
"483","一课","《周报(上海1945)》","Directed",622,1,"上海"
"484","一週","《民主(重庆)》","Directed",623,4,"重庆"
"485","一週年","《民主(重庆)》","Directed",624,1,"重庆"
