"title","author","journal","year","vol","page","place","title_raw","author_raw"
"再论知行","冯友兰","《观察》",1946,"第1卷 第6期","9","上海","再論知行","馮友蘭"
"中国之过去与将来（续完）：五、中国之将来","张东荪","《观察》",1946,"第1卷 第6期","10-13","上海","中國之過去與將來（續完）：五、中國之將來","張東蓀"
"牛郎织女","戴文赛","《观察》",1946,"第1卷 第6期","14-15","上海","牛郎織女","戴文賽"
"尾页：漫画与标题","光","《观察》",1946,"第1卷 第5期","22","上海","尾頁：漫畫與標題","光"
"政治民主与经济民主","吴世昌","《观察》",1946,"第1卷 第5期","4-6","上海","政治民主與經濟民主","吳世昌"
"中美英苏之关係与世界和平","胡先驌","《观察》",1946,"第1卷 第5期","6-8","上海","中美英蘇之關係與世界和平","胡先驌"
"中国之过去与将来：四、衝突中的消长（下）","张东荪","《观察》",1946,"第1卷 第5期","8-11","上海","中國之過去與將來：四、衝突中的消長（下）","張東蓀"
"家庭关係·政治关係·民主政治","吴恩裕","《观察》",1946,"第1卷 第4期","7-9","上海","家庭關係·政治關係·民主政治","吳恩裕"
"中国之过去与将来（本节未完）","张东荪","《观察》",1946,"第1卷 第4期","9-11","上海","中國之過去與將來（本節未完）","張東蓀"
"原子能研究的发展经过","戴文赛","《观察》",1946,"第1卷 第4期","11-15","上海","原子能研究的發展經過","戴文賽"
"烦恼的美国人的烦恼（纽约通信）","杨刚","《观察》",1946,"第1卷 第4期","16-17","上海","煩惱的美國人的煩惱（紐約通信）","楊剛"
"文学·艺术·戏剧·音乐：“静的戏剧与动的戏剧”","陈瘦竹","《观察》",1946,"第1卷 第4期","21-23","上海","文學·藝術·戲劇·音樂：“静的戲劇與動的戲劇”","陳瘦竹"
"动盪中的世界政治潮流","李侠文","《观察》",1946,"第1卷 第5期","2-4","上海","動盪中的世界政治潮流","李俠文 芝"
"动盪中的世界政治潮流","芝","《观察》",1946,"第1卷 第5期","2-4","上海","動盪中的世界政治潮流","李俠文 芝"
"文学·艺术·戏剧·音乐：莎士比亚十四行：第十八首：我怎麽能把你比做夏天？……：[诗歌多首]","戴镏龄","《观察》",1946,"第1卷 第5期","20","上海","文學·藝術·戲劇·音樂：莎士比亞十四行：第十八首：我怎麽能把你比做夏天？……：[詩歌多首]","戴鎦齡"
"尾页：北行记","谷遗","《观察》",1946,"第1卷 第15期","22","上海","尾頁：北行記","谷遺"
"论省自治","陈柏心","《观察》",1946,"第1卷 第15期","4-7","上海","論省自治","陳柏心"
"性格及职业兴趣的遗传问题","钱苹","《观察》",1946,"第1卷 第15期","7-8","上海","性格及職業興趣的遺傳問題","錢蘋"
"派与汇（一）：作爲费孝通：“生育制度”一书的序","潘光旦","《观察》",1946,"第1卷 第15期","8-10","上海","派與匯（一）：作爲費孝通：“生育制度”一書的序","潘光旦"
"青海青·黄河黄，左公柳·马公杨：青海之恋：（附图、照片）","朱俊岐","《观察》",1946,"第1卷 第15期","17-19，16","上海","青海青·黃河黃，左公柳·馬公楊：青海之戀：（附圖、照片）","朱俊岐"
"中国的政局","储安平","《观察》",1947,"第2卷 第2期","2-7","上海","中國的政局","儲安平"
"读者投书：联合政府","张世禄","《观察》",1947,"第2卷 第9期","1","上海","讀者投書：聯合政府","張世祿 芝"
"读者投书：联合政府","芝","《观察》",1947,"第2卷 第9期","1","上海","讀者投書：聯合政府","張世祿 芝"
"英国工党政府对於民营事业的管理办法","奇英","《观察》",1947,"第2卷 第9期","12","上海","英國工黨政府對於民營事業的管理辦法","奇英"
"编辑后记：从这一卷起，假如每期有多馀的空白地位……","安平","《观察》",1947,"第2卷 第1期","26","上海","編輯後記：從這一卷起，假如每期有多餘的空白地位……","安平"
"读者投书：新疆绥远的省名","王执中","《观察》",1947,"第2卷 第1期","1","上海","讀者投書：新疆綏遠的省名","王執中"
"读者投书：新疆译名正误","周东郊","《观察》",1947,"第2卷 第1期","1","上海","讀者投書：新疆譯名正誤","周東郊"
"读者投书：抗币与法币的汇率","隽生","《观察》",1947,"第2卷 第1期","1","上海","讀者投書：抗幣與法幣的匯率","雋生"
"经济之改造（完）","胡先驌","《观察》",1947,"第1卷 第23期","15-16","上海","經濟之改造（完）","胡先驌"
"南疆纪行","陈力","《观察》",1947,"第1卷 第23期","19","上海","南疆紀行","陳力"
"文学·艺术·戯剧·音乐：谈玄诗","张道真","《观察》",1947,"第1卷 第23期","20-21","上海","文學·藝術·戯劇·音樂：談玄詩","張道真"
"辛勤·忍耐·向前：本刊的诞生·半年来的本刊（附图表）","储安平","《观察》",1947,"第1卷 第24期","3-9","上海","辛勤·忍耐·向前：本刊的誕生·半年來的本刊（附圖表）","儲安平 芝"
"辛勤·忍耐·向前：本刊的诞生·半年来的本刊（附图表）","芝","《观察》",1947,"第1卷 第24期","3-9","上海","辛勤·忍耐·向前：本刊的誕生·半年來的本刊（附圖表）","儲安平 芝"
"文学·艺术·戯剧·音乐：人和文","（美）赛珍珠","《观察》",1947,"第1卷 第24期","30-31","上海","文學·藝術·戯劇·音樂：人和文","(美)賽珍珠"
"和谈一年","吴世昌","《观察》",1947,"第1卷 第24期","10-12","上海","和談一年","吳世昌"
"观察漫画：赞成的举手：[漫画]","方成","《观察》",1947,"第3卷 第1期","14","上海","觀察漫畫：贊成的舉手：[漫畫]","方成"
"观察漫画：不要紧，牠现在很驯良、抗议！！！：[漫画二幅]","方成","《观察》",1947,"第3卷 第1期","14","上海","觀察漫畫：不要緊，牠現在很馴良、抗議！！！：[漫畫二幅]","方成"
"观察漫画：被释以后：[漫画]","李桦","《观察》",1947,"第3卷 第1期","14","上海","觀察漫畫：被釋以後：[漫畫]","李樺"
"观察通信版：记四大学北平区联考漏题案","张汉清","《观察》",1947,"第3卷 第1期","17-18","上海","觀察通信版：記四大學北平區聯考漏題案","張漢清"
"论朗诵诗","朱自清","《观察》",1947,"第3卷 第1期","19-20","上海","論朗誦詩","朱自清"
"读者投书：技术人员与内战","彭克昔","《观察》",1947,"第3卷 第1期","1","上海","讀者投書：技術人員與內戰","彭克昔"
"书评：法国革命史（Albert Mathiez原着，杨人楩译註）","王绳祖","《观察》",1947,"第3卷 第1期","21-22","上海","書評：法國革命史（Albert Mathiez原著，楊人楩譯註）","王繩祖"
"读者投书：政府限制大学生就业又一例","沈茂坊","《观察》",1947,"第3卷 第1期","1","上海","讀者投書：政府限制大學生就業又一例","沈茂坊"
"读者投书：反对恢复自费留学考试","李巖","《观察》",1947,"第3卷 第1期","1","上海","讀者投書：反對恢復自費留學考試","李巖"
"读者投书：以国家财富变爲一党私产","章幸之","《观察》",1947,"第3卷 第1期","1","上海","讀者投書：以國家財富變爲一黨私產","章幸之"
"读者投书：禁舞问题","严若傑","《观察》",1947,"第3卷 第1期","1","上海","讀者投書：禁舞問題","嚴若傑"
"週末闢栏：论风度","张啸虎","《观察》",1947,"第2卷 第20期","18-19","上海","週末闢欄：論風度","張嘯虎"
"敎育莫忘羣育！读书莫忘救国！","樊弘","《观察》",1947,"第2卷 第20期","4-6","上海","敎育莫忘羣育！讀書莫忘救國！","樊弘"
"我们向那条路走？","陈旭麓","《观察》",1947,"第2卷 第21期","3-5","上海","我們向那條路走？","陳旭麓"
"论中国土地改革","施若霖","《观察》",1947,"第2卷 第21期","6-9","上海","論中國土地改革","施若霖"
"中国文化特徵之研究（上）","梁漱溟","《观察》",1947,"第2卷 第5期","6-8","上海","中國文化特徵之研究（上）","梁漱溟"
"读者投书：外交部长的继任人选","张大伦","《观察》",1947,"第2卷 第6期","1","上海","讀者投書：外交部長的繼任人選","張大倫"
"“期待东方的文艺复兴”：与陈衡哲先生论“需要重来一个‘人的发见’”","冯大麟","《观察》",1947,"第2卷 第21期","9-12","上海","“期待東方的文藝復興”：與陳衡哲先生論“需要重來一個‘人的發見’”","馮大麟"
"读者投书：饯别战犯","孙永澂","《观察》",1947,"第2卷 第22期","1","上海","讀者投書：餞别戰犯","孫永澂 芝"
"读者投书：饯别战犯","芝","《观察》",1947,"第2卷 第22期","1","上海","讀者投書：餞别戰犯","孫永澂 芝"
"好汉不吃眼前亏的捷克","何永佶","《观察》",1947,"第2卷 第22期","5-6","上海","好漢不吃眼前虧的捷克","何永佶"
"美国与德国（纽约通信）","杨刚","《观察》",1947,"第3卷 第1期","8-12","上海","美國與德國（紐約通信）","楊剛"
"读者投书：预伏一着","孟紫明","《观察》",1947,"第2卷 第16期","23","上海","讀者投書：預伏一着","孟紫明"
"读者投书：所谓“责任内阁”","梁子奇","《观察》",1947,"第2卷 第17期","1","上海","讀者投書：所謂“責任內閣”","梁子奇 芝"
"读者投书：所谓“责任内阁”","芝","《观察》",1947,"第2卷 第17期","1","上海","讀者投書：所謂“責任內閣”","梁子奇 芝"
"观察通信版：国民党三中全会记","浦熙修","《观察》",1947,"第2卷 第6期","15-16","上海","觀察通信版：國民黨三中全會記","浦熙修"
"读者投书：补充与更正","许君远","《观察》",1947,"第2卷 第9期","1","上海","讀者投書：補充與更正","許君遠"
"论政府的改组","吴世昌","《观察》",1947,"第2卷 第9期","2-5","上海","論政府的改組","吳世昌"
"现代经济思潮的趋势","吴元黎","《观察》",1947,"第2卷 第9期","5-7","上海","現代經濟思潮的趨勢","吳元黎"
"人文学科必须东山再起（下）","潘光旦","《观察》",1947,"第2卷 第9期","8-10","上海","人文學科必須東山再起（下）","潘光旦"
"一个历史的敎训","吴恩裕","《观察》",1947,"第3卷 第17期","2-3","上海","一個歷史的敎訓","吳恩裕"
"论这次的大选","楼邦彦","《观察》",1947,"第3卷 第17期","3-5","上海","論這次的大選","樓邦彥"
"论发展学术的计画","陈序经","《观察》",1947,"第3卷 第17期","5-7","上海","論發展學術的計畫","陳序經"
"国共问题何以不能和平解决的追索","陈彦","《观察》",1947,"第2卷 第24期","14-16","上海","國共問題何以不能和平解决的追索","陳彥"
"观察漫画：驿运：[木刻]","刃锋","《观察》",1947,"第3卷 第3期","18","上海","觀察漫畫：驛運：[木刻]","刃鋒"
"週末闢栏：人类的世界观念","史立常","《观察》",1947,"第2卷 第6期","20-21","上海","週末闢欄：人類的世界觀念","史立常"
"读者投书：李璜是否官僚·且看此事下文","徐敬","《观察》",1947,"第2卷 第10期","1","上海","讀者投書：李璜是否官僚·且看此事下文","徐敬 芝"
"读者投书：李璜是否官僚·且看此事下文","芝","《观察》",1947,"第2卷 第10期","1","上海","讀者投書：李璜是否官僚·且看此事下文","徐敬 芝"
"谈“孔家店”：纪念五四运动二十八週年：“谢朝华於已披·啓夕秀於未振，”（陆机文赋）","周绶章","《观察》",1947,"第2卷 第10期","6-9","上海","談“孔家店”：紀念五四運動二十八週年：“謝朝華於已披·啓夕秀於未振，”（陸機文賦）","周綬章"
"关于法兰西第四共和国的新宪典","魏登临","《观察》",1947,"第2卷 第10期","9-11","上海","關于法蘭西第四共和國的新憲典","魏登臨"
"客座记言：五、平衡生活的一个方案：文化价值的评判","陈衡哲","《观察》",1947,"第2卷 第10期","12-14","上海","客座記言：五、平衡生活的一個方案：文化價值的評判","陳衡哲"
"“良心”问题","邢植华","《观察》",1947,"第2卷 第11期","1","上海","“良心”問題","邢植華"
"读者投书：四人语录","万守义","《观察》",1947,"第2卷 第11期","1","上海","讀者投書：四人語錄","萬守義"
"论官吏的民权","楼邦彦","《观察》",1947,"第1卷 第23期","2-4","上海","論官吏的民權","樓邦彦 芝"
"论官吏的民权","芝","《观察》",1947,"第1卷 第23期","2-4","上海","論官吏的民權","樓邦彦 芝"
"尾页：哈密的瓜","陈啓泰","《观察》",1947,"第1卷 第23期","22","上海","尾頁：哈密的瓜","陳啓泰"
"尾页：告有志赴新疆者","陶天白","《观察》",1947,"第1卷 第23期","22","上海","尾頁：告有志赴新疆者","陶天白"
"从国际法立场论美军暴行之性质及外国军队之刑事管辖问题","周子亚","《观察》",1947,"第1卷 第23期","4-7","上海","從國際法立場論美軍暴行之性質及外國軍隊之刑事管轄問題","周子亞"
"战争与和平","王庆源","《观察》",1947,"第1卷 第23期","7-10","上海","戰爭與和平","王慶源"
"读者投书：中国非无“华莱士”","朱福建","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：中國非無“華萊士”","朱福建"
"读者投书：请外交部解释","朱咏沂","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：請外交部解釋","朱詠沂"
"读者投书：“邵元冲国葬”","莊茹斯","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：“邵元冲國葬”","莊茹斯"
"工作与娱乐","戴文赛","《观察》",1947,"第1卷 第19期","14-16","上海","工作與娛樂","戴文賽"
"读者投书：宋子文的好作风","张寗远","《观察》",1947,"第2卷 第2期","1","上海","讀者投書：宋子文的好作風","張寗遠"
"论敎育政策","萧公权","《观察》",1947,"第2卷 第2期","11-13","上海","論敎育政策","蕭公權"
"论台湾的动乱","吴世昌","《观察》",1947,"第2卷 第4期","7-8","上海","論台灣的動亂","吳世昌"
"西安的麵荒：铁路不运煤、煤麵一齐涨，政府要管制、管制还是涨，征粮火急催、麵价格外涨，花样虽然多、民食永远涨","熙","《观察》",1947,"第1卷 第24期","29，31","上海","西安的麵荒：鐵路不運煤、煤麵一齊漲，政府要管制、管制還是漲，征糧火急催、麵價格外漲，花樣雖然多、民食永遠漲","熙"
"读者投书：致读者：从第二卷一期起，我们腾出这一页来刊载读者投书……","芝","《观察》",1947,"第2卷 第1期","1","上海","讀者投書：致讀者：從第二卷一期起，我們騰出這一頁來刊載讀者投書……","芝"
"从政治·经济·法理分析金潮之因果与处理","简贯三","《观察》",1947,"第2卷 第1期","9-12","上海","從政治·經濟·法理分析金潮之因果與處理","簡貫三"
"从黄金风潮论经济对策","莊智焕","《观察》",1947,"第2卷 第1期","12-15","上海","從黃金風潮論經濟對策","莊智煥"
"三百二十三位读者意见的分析与解释","安平","《观察》",1947,"第2卷 第12期","20-22","上海","三百二十三位讀者意見的分析與解釋","安平"
"关于自由思想份子（通信）","陈衡哲","《观察》",1947,"第2卷 第12期","22","上海","關于自由思想份子（通信）","陳衡哲"
"论党的职业化","吴世昌","《观察》",1947,"第2卷 第2期","8-10","上海","論黨的職業化","吳世昌"
"读者投书：又爱又怕","钟石磊","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：又愛又怕","鐘石磊"
"读者投书：李璜问题","林之英","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：李璜問題","林之英"
"读者投书：“北方的观察”","曾乾","《观察》",1947,"第2卷 第12期","1","上海","讀者投書：“北方的觀察”","曾乾"
"读者投书：五四来信一：编者先生：今天五四运动二十八週年纪念……","于鹤年","《观察》",1947,"第2卷 第12期","1，19","上海","讀者投書：五四來信一：編者先生：今天五四運動二十八週年紀念……","于鶴年"
"读者投书：请参政员领导全国和平运动","洪潮","《观察》",1947,"第2卷 第13期","1","上海","讀者投書：請參政員領導全國和平運動","洪潮"
"论公务员的罢工问题：法律与政治的界限","楼邦彦","《观察》",1947,"第2卷 第13期","4-5","上海","論公務員的罷工問題：法律與政治的界限","樓邦彥"
"德国问题与欧洲和平（巴黎通信）","钱能欣","《观察》",1947,"第2卷 第13期","5-8","上海","德國問題與歐洲和平（巴黎通信）","錢能欣"
"与梁潄溟先生论“国土太大”及其利弊","沙学浚","《观察》",1947,"第2卷 第13期","9-10","上海","與梁潄溟先生論“國土太大”及其利弊","沙學浚"
"在记录与起码之间流动着：美国人性格之二","费孝通","《观察》",1947,"第2卷 第13期","11-12","上海","在記錄與起碼之間流動着：美國人性格之二","費孝通"
"黎明的先声：[漫画多幅]","方__","《观察》",1947,"第2卷 第13期","13","上海","黎明的先聲：[漫畫多幅]","方__"
"文学·艺术·戯剧·音乐：谈譒译","季羡林","《观察》",1947,"第1卷 第21期","19-20","上海","文學·藝術·戯劇·音樂：談譒譯","季羡林"
"内蒙自治问题：驳盟等於省旗等於县说","傅斯年","《观察》",1947,"第1卷 第22期","2-4","上海","內蒙自治問題：駁盟等於省旗等於縣說","傅斯年 芝"
"内蒙自治问题：驳盟等於省旗等於县说","芝","《观察》",1947,"第1卷 第22期","2-4","上海","內蒙自治問題：駁盟等於省旗等於縣說","傅斯年 芝"
"读者投书：投书简约：一、读者投书务请附註眞实姓名及地址……","芝","《观察》",1947,"第3卷 第2期","1","上海","讀者投書：投書簡約：一、讀者投書務請附註眞實姓名及地址……","芝"
"从美国看中国（太平洋通信）","张义昌","《观察》",1947,"第1卷 第22期","13-16","上海","從美國看中國（太平洋通信）","張義昌"
"文学·艺术·戯剧·音乐：莎翁戏剧的历史背景","李慕白","《观察》",1947,"第1卷 第22期","20-21","上海","文學·藝術·戯劇·音樂：莎翁戲劇的歷史背景","李慕白"
"观察通信版：北方学运的源源本本","王水","《观察》",1947,"第2卷 第17期","18-19，23","上海","觀察通信版：北方學運的源源本本","王水"
"週末闢栏：狱中生活简记（五·完）","张东荪","《观察》",1947,"第2卷 第17期","20-21","上海","週末闢欄：獄中生活簡記（五·完）","張東蓀"
"读者投书：扭扭揑揑","刘圣培","《观察》",1947,"第2卷 第3期","1","上海","讀者投書：扭扭揑揑","劉聖培 芝"
"读者投书：扭扭揑揑","芝","《观察》",1947,"第2卷 第3期","1","上海","讀者投書：扭扭揑揑","劉聖培 芝"
"客座记言：三、“主敬”是迂拙吗？","陈衡哲","《观察》",1947,"第2卷 第3期","12-13","上海","客座記言：三、“主敬”是迂拙嗎？","陳衡哲"
"观察通信版：记罗隆基招待会","辛耶","《观察》",1947,"第3卷 第8期","19-18","上海","觀察通信版：記羅隆基招待會","辛耶"
"论经济与政治：对於目前几种经济急救方案的一点批评之一","陈振汉","《观察》",1947,"第3卷 第2期","2-3","上海","論經濟與政治：對於目前幾種經濟急救方案的一點批評之一","陳振漢"
"读者投书：本刊暂时不收读者捐欵","芝","《观察》",1947,"第3卷 第11期","1","上海","讀者投書：本刊暫時不收讀者捐欵","芝"
"读者投书：如此今朝","张叶","《观察》",1947,"第3卷 第12期","1","上海","讀者投書：如此今朝","張葉"
"读者投书：支持","锺诚","《观察》",1947,"第3卷 第12期","13","上海","讀者投書：支持","鍾誠"
"当前几种经济急救方案效的估计：对於目前几种经济急救方案的一点批评之二","陈振汉","《观察》",1947,"第3卷 第2期","3-5","上海","當前幾種經濟急救方案效的估計：對於目前幾種經濟急救方案的一點批評之二","陳振漢"
"论立法院与条约权","王铁崖","《观察》",1947,"第3卷 第2期","5-7","上海","論立法院與條約權","王鐵崖"
"我对大学一年级国文的意见","徐述纶","《观察》",1947,"第3卷 第2期","7-8","上海","我對大學一年級國文的意見","徐述綸"
"论绅士：“从社会结构看中国”之一","费孝通","《观察》",1947,"第3卷 第2期","8-11","上海","論紳士：“從社會結構看中國”之一","費孝通"
"观察漫画：再生：[漫画]","方成","《观察》",1947,"第3卷 第2期","12","上海","觀察漫畫：再生：[漫畫]","方成"
"观察漫画：又一张！：[漫画]","方成","《观察》",1947,"第3卷 第2期","12","上海","觀察漫畫：又一張！：[漫畫]","方成"
"尾页：回乡","吴显齐","《观察》",1947,"第1卷 第22期","22","上海","尾頁：回鄉","吳顯齊"
"观察通信版：揭开豫西的内幕","野军","《观察》",1947,"第3卷 第12期","16-15","上海","觀察通信版：揭開豫西的內幕","野軍"
"观察通信版：千迴万转中“新政府”揭幕前后的透视","浦熙修","《观察》",1947,"第2卷 第9期","14-15","上海","觀察通信版：千迴萬轉中“新政府”揭幕前後的透視","浦熙修"
"读者投书：去蔽","蔡泽安","《观察》",1947,"第2卷 第13期","1","上海","讀者投書：去蔽","蔡澤安"
"张羣院长的曲解","楼邦彦","《观察》",1947,"第2卷 第15期","3-5","上海","張羣院長的曲解","樓邦彥"
"读者投书：谁在扩大学潮？","吕辰辉","《观察》",1947,"第2卷 第15期","1","上海","讀者投書：誰在擴大學潮？","呂辰輝"
"週末闢栏：施用闷药前后的心理与感觉","储安平","《观察》",1947,"第2卷 第9期","17-19","上海","週末闢欄：施用悶藥前後的心理與感覺","儲安平"
"滇谣小记","李广田","《观察》",1947,"第2卷 第9期","20-19","上海","滇謠小記","李廣田"
"观察文摘：中间派在政治上的地位和作用","施复亮","《观察》",1947,"第2卷 第9期","21-22","上海","觀察文摘：中間派在政治上的地位和作用","施復亮"
"读者投书：“中国政局论战”","胡凤九","《观察》",1947,"第2卷 第9期","1","上海","讀者投書：“中國政局論戰”","胡鳳九"
"读者投书：民社党内争中之“马歇尔”","刘任民","《观察》",1947,"第2卷 第9期","1","上海","讀者投書：民社黨内爭中之“馬歇爾”","劉任民"
"读者投书：左鞭右打","梁子奇","《观察》",1947,"第3卷 第18期","1","上海","讀者投書：左鞭右打","梁子奇 王愼甫 芝"
"读者投书：左鞭右打","王愼甫","《观察》",1947,"第3卷 第18期","1","上海","讀者投書：左鞭右打","梁子奇 王愼甫 芝"
"读者投书：左鞭右打","芝","《观察》",1947,"第3卷 第18期","1","上海","讀者投書：左鞭右打","梁子奇 王愼甫 芝"
"魏德迈回国后，美国将如何的对中国？","许德珩","《观察》",1947,"第3卷 第1期","2-4","上海","魏德邁回國後，美國將如何的對中國？","許德珩"
"动员·戡乱·行宪","楼邦彦","《观察》",1947,"第3卷 第1期","5-6","上海","動員·戡亂·行憲","樓邦彥"
"论中纺让给民营的方法","李烛尘","《观察》",1947,"第3卷 第1期","6-8","上海","論中紡讓給民營的方法","李燭塵"
"尾页：送穷","吴缶","《观察》",1947,"第1卷 第22期","22","上海","尾頁：送窮","吳缶"
"论革命","周锺岐","《观察》",1947,"第1卷 第22期","5-9","上海","論革命","周鍾岐"
"资本主义经济与社会主义经济","陈志让","《观察》",1947,"第1卷 第22期","9-10","上海","資本主義經濟與社會主義經濟","陳志讓"
"经济之改造（三）","胡先驌","《观察》",1947,"第1卷 第22期","11-12","上海","經濟之改造（三）","胡先驌"
"读者投书：因地制宜税","徐行","《观察》",1947,"第2卷 第21期","1","上海","讀者投書：因地制宜稅","徐行"
"评出版法修正草案（二）","储安平","《观察》",1947,"第3卷 第15期","7-9","上海","評出版法修正草案（二）","儲安平"
"做“要人”得像“要人”的样子（伦敦通信）","田汝康","《观察》",1947,"第3卷 第15期","10-11，19","上海","做“要人”得像“要人”的樣子（倫敦通信）","田汝康"
"读者投书：被杀与被辱","李文平","《观察》",1947,"第2卷 第21期","1","上海","讀者投書：被殺與被辱","李文平"
"读者投书：陈明仁的鬍子","余纪泽","《观察》",1947,"第2卷 第21期","1","上海","讀者投書：陳明仁的鬍子","余紀澤"
"週末闢栏：狱中生活简记（一）","张东荪","《观察》",1947,"第2卷 第13期","18-19","上海","週末闢欄：獄中生活簡記（一）","張東蓀"
"谈谣言","袁昌英","《观察》",1947,"第2卷 第13期","20-22","上海","談謠言","袁昌英"
"论悲剧人生观","陈瘦竹","《观察》",1947,"第2卷 第20期","20","上海","論悲劇人生觀","陳瘦竹"
"读者投书：纽约来鸿","田心源","《观察》",1947,"第2卷 第20期","17","上海","讀者投書：紐約來鴻","田心源"
"爲本届大学毕业生进一言","任鸿隽","《观察》",1947,"第2卷 第20期","7-8","上海","爲本屆大學畢業生進一言","任鴻雋"
"道德上有个毒刺：美国人性格之七","费孝通","《观察》",1947,"第2卷 第21期","13-15","上海","道德上有個毒刺：美國人性格之七","費孝通"
"读者投书：关於靑年军保送升学","陈荣纬","《观察》",1947,"第3卷 第13期","1，12","上海","讀者投書：關於靑年軍保送升學","陳榮緯"
"读者投书：在美国的烦恼","温典光","《观察》",1947,"第3卷 第13期","12","上海","讀者投書：在美國的煩惱","温典光"
"读者投书：关于“火车要人推”","王多幹","《观察》",1947,"第3卷 第13期","12-13","上海","讀者投書：關于“火車要人推”","王多幹"
"中国行政改革的新方向","陈之迈","《观察》",1947,"第3卷 第13期","2-6","上海","中國行政改革的新方向","陳之邁"
"读者投书：“学运指导委员会”！","任俶傥","《观察》",1947,"第3卷 第5期","1","上海","讀者投書：“學運指導委員會”！","任俶儻"
"读者投书：齐鲁企业公司接收青岛筹僞产业内幕又一告报","许敬昌","《观察》",1947,"第3卷 第5期","1，23","上海","讀者投書：齊魯企業公司接收青島籌僞產業內幕又一告報","許敬昌"
"读者投书：牛·牛贩·人牛公司","伍眞","《观察》",1947,"第3卷 第5期","23","上海","讀者投書：牛·牛販·人牛公司","伍眞"
"读者投书：华侨·侨瞧·侨眷","潘家濂","《观察》",1947,"第3卷 第5期","23","上海","讀者投書：華僑·僑瞧·僑眷","潘家濂"
"论当前的政局和美国对华政策","吴世昌","《观察》",1947,"第3卷 第5期","2-4","上海","論當前的政局和美國對華政策","吳世昌"
"读者投书：“国际干涉”","周鸿道","《观察》",1947,"第2卷 第4期","1","上海","讀者投書：“國際干涉”","周鴻道"
"读者投书：前账末清免开尊口","周叔谦","《观察》",1947,"第2卷 第13期","1","上海","讀者投書：前賬末清免開尊口","周叔謙"
"读者投书：拟“顽固派”出洋考察路线","夏文炳","《观察》",1947,"第2卷 第13期","1，14","上海","讀者投書：擬“頑固派”出洋考察路線","夏文炳"
"大局浮动·学潮如火","储安平","《观察》",1947,"第2卷 第13期","2-4","上海","大局浮動·學潮如火","儲安平"
"“柴那门的机会”：美国人眼中的华侨","史超礼","《观察》",1947,"第3卷 第18期","7-9","上海","“柴那門的機會”：美國人眼中的華僑","史超禮"
"台湾民变眞象鈎沉","纯青","《观察》",1947,"第2卷 第4期","9-10","上海","台灣民變眞象鈎沉","純青"
"读者投书：此中消息","王潜庵","《观察》",1947,"第2卷 第5期","19","上海","讀者投書：此中消息","王潛庵"
"读者投书：“胡海门”","傅省三","《观察》",1947,"第2卷 第6期","1","上海","讀者投書：“胡海門”","傅省三 芝"
"读者投书：“胡海门”","芝","《观察》",1947,"第2卷 第6期","1","上海","讀者投書：“胡海門”","傅省三 芝"
"週末闢栏：哲学精神的价值","虞愚","《观察》",1947,"第2卷 第7期","20，22","上海","週末闢欄：哲學精神的價值","虞愚"
