"title","author","journal","year","vol","page","place","author_raw","title_raw"
"原子能研究的发展经过","戴文赛","《观察》",1946,"第1卷 第4期","11-15","上海","戴文賽","原子能研究的發展經過"
"烦恼的美国人的烦恼（纽约通信）","杨刚","《观察》",1946,"第1卷 第4期","16-17","上海","楊剛","煩惱的美國人的煩惱（紐約通信）"
"文学·艺术·戏剧·音乐：“静的戏剧与动的戏剧”","陈瘦竹","《观察》",1946,"第1卷 第4期","21-23","上海","陳瘦竹","文學·藝術·戲劇·音樂：“静的戲劇與動的戲劇”"
"动盪中的世界政治潮流","李侠文","《观察》",1946,"第1卷 第5期","2-4","上海","李俠文 芝","動盪中的世界政治潮流"
"文学·艺术·戏剧·音乐：莎士比亚十四行：第十八首：我怎麽能把你比做夏天？……：[诗歌多首]","戴镏龄","《观察》",1946,"第1卷 第5期","20","上海","戴鎦齡","文學·藝術·戲劇·音樂：莎士比亞十四行：第十八首：我怎麽能把你比做夏天？……：[詩歌多首]"
"尾页：北行记","谷遗","《观察》",1946,"第1卷 第15期","22","上海","谷遺","尾頁：北行記"
"论省自治","陈柏心","《观察》",1946,"第1卷 第15期","4-7","上海","陳柏心","論省自治"
"性格及职业兴趣的遗传问题","钱苹","《观察》",1946,"第1卷 第15期","7-8","上海","錢蘋","性格及職業興趣的遺傳問題"
"派与汇（一）：作爲费孝通：“生育制度”一书的序","潘光旦","《观察》",1946,"第1卷 第15期","8-10","上海","潘光旦","派與匯（一）：作爲費孝通：“生育制度”一書的序"
"青海青·黄河黄，左公柳·马公杨：青海之恋：（附图、照片）","朱俊岐","《观察》",1946,"第1卷 第15期","17-19，16","上海","朱俊岐","青海青·黃河黃，左公柳·馬公楊：青海之戀：（附圖、照片）"
"中国的政局","储安平","《观察》",1947,"第2卷 第2期","2-7","上海","儲安平","中國的政局"
"读者投书：联合政府","张世禄","《观察》",1947,"第2卷 第9期","1","上海","張世祿 芝","讀者投書：聯合政府"
"英国工党政府对於民营事业的管理办法","奇英","《观察》",1947,"第2卷 第9期","12","上海","奇英","英國工黨政府對於民營事業的管理辦法"
"编辑后记：从这一卷起，假如每期有多馀的空白地位……","安平","《观察》",1947,"第2卷 第1期","26","上海","安平","編輯後記：從這一卷起，假如每期有多餘的空白地位……"
"读者投书：新疆绥远的省名","王执中","《观察》",1947,"第2卷 第1期","1","上海","王執中","讀者投書：新疆綏遠的省名"
"读者投书：新疆译名正误","周东郊","《观察》",1947,"第2卷 第1期","1","上海","周東郊","讀者投書：新疆譯名正誤"
"读者投书：抗币与法币的汇率","隽生","《观察》",1947,"第2卷 第1期","1","上海","雋生","讀者投書：抗幣與法幣的匯率"
"经济之改造（完）","胡先驌","《观察》",1947,"第1卷 第23期","15-16","上海","胡先驌","經濟之改造（完）"
"南疆纪行","陈力","《观察》",1947,"第1卷 第23期","19","上海","陳力","南疆紀行"
"文学·艺术·戯剧·音乐：谈玄诗","张道真","《观察》",1947,"第1卷 第23期","20-21","上海","張道真","文學·藝術·戯劇·音樂：談玄詩"
"辛勤·忍耐·向前：本刊的诞生·半年来的本刊（附图表）","储安平","《观察》",1947,"第1卷 第24期","3-9","上海","儲安平 芝","辛勤·忍耐·向前：本刊的誕生·半年來的本刊（附圖表）"
"文学·艺术·戯剧·音乐：人和文","赛珍珠","《观察》",1947,"第1卷 第24期","30-31","上海","(美)賽珍珠","文學·藝術·戯劇·音樂：人和文"
"和谈一年","吴世昌","《观察》",1947,"第1卷 第24期","10-12","上海","吳世昌","和談一年"
"观察漫画：赞成的举手：[漫画]","方成","《观察》",1947,"第3卷 第1期","14","上海","方成","觀察漫畫：贊成的舉手：[漫畫]"
"观察漫画：不要紧，牠现在很驯良、抗议！！！：[漫画二幅]","方成","《观察》",1947,"第3卷 第1期","14","上海","方成","觀察漫畫：不要緊，牠現在很馴良、抗議！！！：[漫畫二幅]"
"观察漫画：被释以后：[漫画]","李桦","《观察》",1947,"第3卷 第1期","14","上海","李樺","觀察漫畫：被釋以後：[漫畫]"
"观察通信版：记四大学北平区联考漏题案","张汉清","《观察》",1947,"第3卷 第1期","17-18","上海","張漢清","觀察通信版：記四大學北平區聯考漏題案"
"论朗诵诗","朱自清","《观察》",1947,"第3卷 第1期","19-20","上海","朱自清","論朗誦詩"
"读者投书：技术人员与内战","彭克昔","《观察》",1947,"第3卷 第1期","1","上海","彭克昔","讀者投書：技術人員與內戰"
"书评：法国革命史（Albert Mathiez原着，杨人楩译註）","王绳祖","《观察》",1947,"第3卷 第1期","21-22","上海","王繩祖","書評：法國革命史（Albert Mathiez原著，楊人楩譯註）"
"读者投书：政府限制大学生就业又一例","沈茂坊","《观察》",1947,"第3卷 第1期","1","上海","沈茂坊","讀者投書：政府限制大學生就業又一例"
"读者投书：反对恢复自费留学考试","李巖","《观察》",1947,"第3卷 第1期","1","上海","李巖","讀者投書：反對恢復自費留學考試"
"读者投书：以国家财富变爲一党私产","章幸之","《观察》",1947,"第3卷 第1期","1","上海","章幸之","讀者投書：以國家財富變爲一黨私產"
"读者投书：禁舞问题","严若傑","《观察》",1947,"第3卷 第1期","1","上海","嚴若傑","讀者投書：禁舞問題"
"週末闢栏：论风度","张啸虎","《观察》",1947,"第2卷 第20期","18-19","上海","張嘯虎","週末闢欄：論風度"
"敎育莫忘羣育！读书莫忘救国！","樊弘","《观察》",1947,"第2卷 第20期","4-6","上海","樊弘","敎育莫忘羣育！讀書莫忘救國！"
"我们向那条路走？","陈旭麓","《观察》",1947,"第2卷 第21期","3-5","上海","陳旭麓","我們向那條路走？"
"论中国土地改革","施若霖","《观察》",1947,"第2卷 第21期","6-9","上海","施若霖","論中國土地改革"
"中国文化特徵之研究（上）","梁漱溟","《观察》",1947,"第2卷 第5期","6-8","上海","梁漱溟","中國文化特徵之研究（上）"
"读者投书：外交部长的继任人选","张大伦","《观察》",1947,"第2卷 第6期","1","上海","張大倫","讀者投書：外交部長的繼任人選"
"“期待东方的文艺复兴”：与陈衡哲先生论“需要重来一个‘人的发见’”","冯大麟","《观察》",1947,"第2卷 第21期","9-12","上海","馮大麟","“期待東方的文藝復興”：與陳衡哲先生論“需要重來一個‘人的發見’”"
"读者投书：饯别战犯","孙永澂","《观察》",1947,"第2卷 第22期","1","上海","孫永澂 芝","讀者投書：餞别戰犯"
"好汉不吃眼前亏的捷克","何永佶","《观察》",1947,"第2卷 第22期","5-6","上海","何永佶","好漢不吃眼前虧的捷克"
"美国与德国（纽约通信）","杨刚","《观察》",1947,"第3卷 第1期","8-12","上海","楊剛","美國與德國（紐約通信）"
"读者投书：预伏一着","孟紫明","《观察》",1947,"第2卷 第16期","23","上海","孟紫明","讀者投書：預伏一着"
"读者投书：所谓“责任内阁”","梁子奇","《观察》",1947,"第2卷 第17期","1","上海","梁子奇 芝","讀者投書：所謂“責任內閣”"
"观察通信版：国民党三中全会记","浦熙修","《观察》",1947,"第2卷 第6期","15-16","上海","浦熙修","觀察通信版：國民黨三中全會記"
"读者投书：补充与更正","许君远","《观察》",1947,"第2卷 第9期","1","上海","許君遠","讀者投書：補充與更正"
"论政府的改组","吴世昌","《观察》",1947,"第2卷 第9期","2-5","上海","吳世昌","論政府的改組"
"现代经济思潮的趋势","吴元黎","《观察》",1947,"第2卷 第9期","5-7","上海","吳元黎","現代經濟思潮的趨勢"
"人文学科必须东山再起（下）","潘光旦","《观察》",1947,"第2卷 第9期","8-10","上海","潘光旦","人文學科必須東山再起（下）"
"一个历史的敎训","吴恩裕","《观察》",1947,"第3卷 第17期","2-3","上海","吳恩裕","一個歷史的敎訓"
"论这次的大选","楼邦彦","《观察》",1947,"第3卷 第17期","3-5","上海","樓邦彥","論這次的大選"
"论发展学术的计画","陈序经","《观察》",1947,"第3卷 第17期","5-7","上海","陳序經","論發展學術的計畫"
"国共问题何以不能和平解决的追索","陈彦","《观察》",1947,"第2卷 第24期","14-16","上海","陳彥","國共問題何以不能和平解决的追索"
"观察漫画：驿运：[木刻]","刃锋","《观察》",1947,"第3卷 第3期","18","上海","刃鋒","觀察漫畫：驛運：[木刻]"
"週末闢栏：人类的世界观念","史立常","《观察》",1947,"第2卷 第6期","20-21","上海","史立常","週末闢欄：人類的世界觀念"
"读者投书：李璜是否官僚·且看此事下文","徐敬","《观察》",1947,"第2卷 第10期","1","上海","徐敬 芝","讀者投書：李璜是否官僚·且看此事下文"
"谈“孔家店”：纪念五四运动二十八週年：“谢朝华於已披·啓夕秀於未振，”（陆机文赋）","周绶章","《观察》",1947,"第2卷 第10期","6-9","上海","周綬章","談“孔家店”：紀念五四運動二十八週年：“謝朝華於已披·啓夕秀於未振，”（陸機文賦）"
"关于法兰西第四共和国的新宪典","魏登临","《观察》",1947,"第2卷 第10期","9-11","上海","魏登臨","關于法蘭西第四共和國的新憲典"
"客座记言：五、平衡生活的一个方案：文化价值的评判","陈衡哲","《观察》",1947,"第2卷 第10期","12-14","上海","陳衡哲","客座記言：五、平衡生活的一個方案：文化價值的評判"
"“良心”问题","邢植华","《观察》",1947,"第2卷 第11期","1","上海","邢植華","“良心”問題"
"读者投书：四人语录","万守义","《观察》",1947,"第2卷 第11期","1","上海","萬守義","讀者投書：四人語錄"
"论官吏的民权","楼邦彦","《观察》",1947,"第1卷 第23期","2-4","上海","樓邦彦 芝","論官吏的民權"
"尾页：哈密的瓜","陈啓泰","《观察》",1947,"第1卷 第23期","22","上海","陳啓泰","尾頁：哈密的瓜"
"尾页：告有志赴新疆者","陶天白","《观察》",1947,"第1卷 第23期","22","上海","陶天白","尾頁：告有志赴新疆者"
"从国际法立场论美军暴行之性质及外国军队之刑事管辖问题","周子亚","《观察》",1947,"第1卷 第23期","4-7","上海","周子亞","從國際法立場論美軍暴行之性質及外國軍隊之刑事管轄問題"
"战争与和平","王庆源","《观察》",1947,"第1卷 第23期","7-10","上海","王慶源","戰爭與和平"
"读者投书：中国非无“华莱士”","朱福建","《观察》",1947,"第2卷 第12期","1","上海","朱福建","讀者投書：中國非無“華萊士”"
"读者投书：请外交部解释","朱咏沂","《观察》",1947,"第2卷 第12期","1","上海","朱詠沂","讀者投書：請外交部解釋"
"读者投书：“邵元冲国葬”","莊茹斯","《观察》",1947,"第2卷 第12期","1","上海","莊茹斯","讀者投書：“邵元冲國葬”"
"工作与娱乐","戴文赛","《观察》",1947,"第1卷 第19期","14-16","上海","戴文賽","工作與娛樂"
"读者投书：宋子文的好作风","张寗远","《观察》",1947,"第2卷 第2期","1","上海","張寗遠","讀者投書：宋子文的好作風"
"论敎育政策","萧公权","《观察》",1947,"第2卷 第2期","11-13","上海","蕭公權","論敎育政策"
"论台湾的动乱","吴世昌","《观察》",1947,"第2卷 第4期","7-8","上海","吳世昌","論台灣的動亂"
"从政治·经济·法理分析金潮之因果与处理","简贯三","《观察》",1947,"第2卷 第1期","9-12","上海","簡貫三","從政治·經濟·法理分析金潮之因果與處理"
"从黄金风潮论经济对策","莊智焕","《观察》",1947,"第2卷 第1期","12-15","上海","莊智煥","從黃金風潮論經濟對策"
"三百二十三位读者意见的分析与解释","安平","《观察》",1947,"第2卷 第12期","20-22","上海","安平","三百二十三位讀者意見的分析與解釋"
"关于自由思想份子（通信）","陈衡哲","《观察》",1947,"第2卷 第12期","22","上海","陳衡哲","關于自由思想份子（通信）"
"论党的职业化","吴世昌","《观察》",1947,"第2卷 第2期","8-10","上海","吳世昌","論黨的職業化"
"读者投书：又爱又怕","钟石磊","《观察》",1947,"第2卷 第12期","1","上海","鐘石磊","讀者投書：又愛又怕"
"读者投书：李璜问题","林之英","《观察》",1947,"第2卷 第12期","1","上海","林之英","讀者投書：李璜問題"
"读者投书：“北方的观察”","曾乾","《观察》",1947,"第2卷 第12期","1","上海","曾乾","讀者投書：“北方的觀察”"
"读者投书：五四来信一：编者先生：今天五四运动二十八週年纪念……","于鹤年","《观察》",1947,"第2卷 第12期","1，19","上海","于鶴年","讀者投書：五四來信一：編者先生：今天五四運動二十八週年紀念……"
"读者投书：请参政员领导全国和平运动","洪潮","《观察》",1947,"第2卷 第13期","1","上海","洪潮","讀者投書：請參政員領導全國和平運動"
"论公务员的罢工问题：法律与政治的界限","楼邦彦","《观察》",1947,"第2卷 第13期","4-5","上海","樓邦彥","論公務員的罷工問題：法律與政治的界限"
"德国问题与欧洲和平（巴黎通信）","钱能欣","《观察》",1947,"第2卷 第13期","5-8","上海","錢能欣","德國問題與歐洲和平（巴黎通信）"
"与梁潄溟先生论“国土太大”及其利弊","沙学浚","《观察》",1947,"第2卷 第13期","9-10","上海","沙學浚","與梁潄溟先生論“國土太大”及其利弊"
"在记录与起码之间流动着：美国人性格之二","费孝通","《观察》",1947,"第2卷 第13期","11-12","上海","費孝通","在記錄與起碼之間流動着：美國人性格之二"
"黎明的先声：[漫画多幅]","方__","《观察》",1947,"第2卷 第13期","13","上海","方__","黎明的先聲：[漫畫多幅]"
"文学·艺术·戯剧·音乐：谈譒译","季羡林","《观察》",1947,"第1卷 第21期","19-20","上海","季羡林","文學·藝術·戯劇·音樂：談譒譯"
"内蒙自治问题：驳盟等於省旗等於县说","傅斯年","《观察》",1947,"第1卷 第22期","2-4","上海","傅斯年 芝","內蒙自治問題：駁盟等於省旗等於縣說"
"从美国看中国（太平洋通信）","张义昌","《观察》",1947,"第1卷 第22期","13-16","上海","張義昌","從美國看中國（太平洋通信）"
"文学·艺术·戯剧·音乐：莎翁戏剧的历史背景","李慕白","《观察》",1947,"第1卷 第22期","20-21","上海","李慕白","文學·藝術·戯劇·音樂：莎翁戲劇的歷史背景"
"观察通信版：北方学运的源源本本","王水","《观察》",1947,"第2卷 第17期","18-19，23","上海","王水","觀察通信版：北方學運的源源本本"
"週末闢栏：狱中生活简记（五·完）","张东荪","《观察》",1947,"第2卷 第17期","20-21","上海","張東蓀","週末闢欄：獄中生活簡記（五·完）"
"读者投书：扭扭揑揑","刘圣培","《观察》",1947,"第2卷 第3期","1","上海","劉聖培 芝","讀者投書：扭扭揑揑"
"客座记言：三、“主敬”是迂拙吗？","陈衡哲","《观察》",1947,"第2卷 第3期","12-13","上海","陳衡哲","客座記言：三、“主敬”是迂拙嗎？"
"观察通信版：记罗隆基招待会","辛耶","《观察》",1947,"第3卷 第8期","19-18","上海","辛耶","觀察通信版：記羅隆基招待會"
"论经济与政治：对於目前几种经济急救方案的一点批评之一","陈振汉","《观察》",1947,"第3卷 第2期","2-3","上海","陳振漢","論經濟與政治：對於目前幾種經濟急救方案的一點批評之一"
"读者投书：如此今朝","张叶","《观察》",1947,"第3卷 第12期","1","上海","張葉","讀者投書：如此今朝"
"读者投书：支持","锺诚","《观察》",1947,"第3卷 第12期","13","上海","鍾誠","讀者投書：支持"
"当前几种经济急救方案效的估计：对於目前几种经济急救方案的一点批评之二","陈振汉","《观察》",1947,"第3卷 第2期","3-5","上海","陳振漢","當前幾種經濟急救方案效的估計：對於目前幾種經濟急救方案的一點批評之二"
"论立法院与条约权","王铁崖","《观察》",1947,"第3卷 第2期","5-7","上海","王鐵崖","論立法院與條約權"
"我对大学一年级国文的意见","徐述纶","《观察》",1947,"第3卷 第2期","7-8","上海","徐述綸","我對大學一年級國文的意見"
"论绅士：“从社会结构看中国”之一","费孝通","《观察》",1947,"第3卷 第2期","8-11","上海","費孝通","論紳士：“從社會結構看中國”之一"
"观察漫画：再生：[漫画]","方成","《观察》",1947,"第3卷 第2期","12","上海","方成","觀察漫畫：再生：[漫畫]"
"观察漫画：又一张！：[漫画]","方成","《观察》",1947,"第3卷 第2期","12","上海","方成","觀察漫畫：又一張！：[漫畫]"
"尾页：回乡","吴显齐","《观察》",1947,"第1卷 第22期","22","上海","吳顯齊","尾頁：回鄉"
"观察通信版：揭开豫西的内幕","野军","《观察》",1947,"第3卷 第12期","16-15","上海","野軍","觀察通信版：揭開豫西的內幕"
"观察通信版：千迴万转中“新政府”揭幕前后的透视","浦熙修","《观察》",1947,"第2卷 第9期","14-15","上海","浦熙修","觀察通信版：千迴萬轉中“新政府”揭幕前後的透視"
"读者投书：去蔽","蔡泽安","《观察》",1947,"第2卷 第13期","1","上海","蔡澤安","讀者投書：去蔽"
"张羣院长的曲解","楼邦彦","《观察》",1947,"第2卷 第15期","3-5","上海","樓邦彥","張羣院長的曲解"
"读者投书：谁在扩大学潮？","吕辰辉","《观察》",1947,"第2卷 第15期","1","上海","呂辰輝","讀者投書：誰在擴大學潮？"
"週末闢栏：施用闷药前后的心理与感觉","储安平","《观察》",1947,"第2卷 第9期","17-19","上海","儲安平","週末闢欄：施用悶藥前後的心理與感覺"
"滇谣小记","李广田","《观察》",1947,"第2卷 第9期","20-19","上海","李廣田","滇謠小記"
"观察文摘：中间派在政治上的地位和作用","施复亮","《观察》",1947,"第2卷 第9期","21-22","上海","施復亮","觀察文摘：中間派在政治上的地位和作用"
"读者投书：“中国政局论战”","胡凤九","《观察》",1947,"第2卷 第9期","1","上海","胡鳳九","讀者投書：“中國政局論戰”"
"读者投书：民社党内争中之“马歇尔”","刘任民","《观察》",1947,"第2卷 第9期","1","上海","劉任民","讀者投書：民社黨内爭中之“馬歇爾”"
"读者投书：左鞭右打","梁子奇","《观察》",1947,"第3卷 第18期","1","上海","梁子奇 王愼甫 芝","讀者投書：左鞭右打"
"读者投书：左鞭右打","王愼甫","《观察》",1947,"第3卷 第18期","1","上海","梁子奇 王愼甫 芝","讀者投書：左鞭右打"
"魏德迈回国后，美国将如何的对中国？","许德珩","《观察》",1947,"第3卷 第1期","2-4","上海","許德珩","魏德邁回國後，美國將如何的對中國？"
"动员·戡乱·行宪","楼邦彦","《观察》",1947,"第3卷 第1期","5-6","上海","樓邦彥","動員·戡亂·行憲"
"论中纺让给民营的方法","李烛尘","《观察》",1947,"第3卷 第1期","6-8","上海","李燭塵","論中紡讓給民營的方法"
"尾页：送穷","吴缶","《观察》",1947,"第1卷 第22期","22","上海","吳缶","尾頁：送窮"
"论革命","周锺岐","《观察》",1947,"第1卷 第22期","5-9","上海","周鍾岐","論革命"
"资本主义经济与社会主义经济","陈志让","《观察》",1947,"第1卷 第22期","9-10","上海","陳志讓","資本主義經濟與社會主義經濟"
"经济之改造（三）","胡先驌","《观察》",1947,"第1卷 第22期","11-12","上海","胡先驌","經濟之改造（三）"
"读者投书：因地制宜税","徐行","《观察》",1947,"第2卷 第21期","1","上海","徐行","讀者投書：因地制宜稅"
"评出版法修正草案（二）","储安平","《观察》",1947,"第3卷 第15期","7-9","上海","儲安平","評出版法修正草案（二）"
"做“要人”得像“要人”的样子（伦敦通信）","田汝康","《观察》",1947,"第3卷 第15期","10-11，19","上海","田汝康","做“要人”得像“要人”的樣子（倫敦通信）"
"读者投书：被杀与被辱","李文平","《观察》",1947,"第2卷 第21期","1","上海","李文平","讀者投書：被殺與被辱"
"读者投书：陈明仁的鬍子","余纪泽","《观察》",1947,"第2卷 第21期","1","上海","余紀澤","讀者投書：陳明仁的鬍子"
"週末闢栏：狱中生活简记（一）","张东荪","《观察》",1947,"第2卷 第13期","18-19","上海","張東蓀","週末闢欄：獄中生活簡記（一）"
"谈谣言","袁昌英","《观察》",1947,"第2卷 第13期","20-22","上海","袁昌英","談謠言"
"论悲剧人生观","陈瘦竹","《观察》",1947,"第2卷 第20期","20","上海","陳瘦竹","論悲劇人生觀"
"读者投书：纽约来鸿","田心源","《观察》",1947,"第2卷 第20期","17","上海","田心源","讀者投書：紐約來鴻"
"爲本届大学毕业生进一言","任鸿隽","《观察》",1947,"第2卷 第20期","7-8","上海","任鴻雋","爲本屆大學畢業生進一言"
"道德上有个毒刺：美国人性格之七","费孝通","《观察》",1947,"第2卷 第21期","13-15","上海","費孝通","道德上有個毒刺：美國人性格之七"
"读者投书：关於靑年军保送升学","陈荣纬","《观察》",1947,"第3卷 第13期","1，12","上海","陳榮緯","讀者投書：關於靑年軍保送升學"
"读者投书：在美国的烦恼","温典光","《观察》",1947,"第3卷 第13期","12","上海","温典光","讀者投書：在美國的煩惱"
"读者投书：关于“火车要人推”","王多幹","《观察》",1947,"第3卷 第13期","12-13","上海","王多幹","讀者投書：關于“火車要人推”"
"中国行政改革的新方向","陈之迈","《观察》",1947,"第3卷 第13期","2-6","上海","陳之邁","中國行政改革的新方向"
"读者投书：“学运指导委员会”！","任俶傥","《观察》",1947,"第3卷 第5期","1","上海","任俶儻","讀者投書：“學運指導委員會”！"
"读者投书：齐鲁企业公司接收青岛筹僞产业内幕又一告报","许敬昌","《观察》",1947,"第3卷 第5期","1，23","上海","許敬昌","讀者投書：齊魯企業公司接收青島籌僞產業內幕又一告報"
"读者投书：牛·牛贩·人牛公司","伍眞","《观察》",1947,"第3卷 第5期","23","上海","伍眞","讀者投書：牛·牛販·人牛公司"
"读者投书：华侨·侨瞧·侨眷","潘家濂","《观察》",1947,"第3卷 第5期","23","上海","潘家濂","讀者投書：華僑·僑瞧·僑眷"
"论当前的政局和美国对华政策","吴世昌","《观察》",1947,"第3卷 第5期","2-4","上海","吳世昌","論當前的政局和美國對華政策"
"读者投书：“国际干涉”","周鸿道","《观察》",1947,"第2卷 第4期","1","上海","周鴻道","讀者投書：“國際干涉”"
"读者投书：前账末清免开尊口","周叔谦","《观察》",1947,"第2卷 第13期","1","上海","周叔謙","讀者投書：前賬末清免開尊口"
"读者投书：拟“顽固派”出洋考察路线","夏文炳","《观察》",1947,"第2卷 第13期","1，14","上海","夏文炳","讀者投書：擬“頑固派”出洋考察路線"
"大局浮动·学潮如火","储安平","《观察》",1947,"第2卷 第13期","2-4","上海","儲安平","大局浮動·學潮如火"
"“柴那门的机会”：美国人眼中的华侨","史超礼","《观察》",1947,"第3卷 第18期","7-9","上海","史超禮","“柴那門的機會”：美國人眼中的華僑"
"台湾民变眞象鈎沉","纯青","《观察》",1947,"第2卷 第4期","9-10","上海","純青","台灣民變眞象鈎沉"
"读者投书：此中消息","王潜庵","《观察》",1947,"第2卷 第5期","19","上海","王潛庵","讀者投書：此中消息"
"读者投书：“胡海门”","傅省三","《观察》",1947,"第2卷 第6期","1","上海","傅省三 芝","讀者投書：“胡海門”"
"週末闢栏：哲学精神的价值","虞愚","《观察》",1947,"第2卷 第7期","20，22","上海","虞愚","週末闢欄：哲學精神的價值"
"读者投书：一个“联谊会”的建议","任九皋","《观察》",1947,"第2卷 第7期","1","上海","任九皋","讀者投書：一個“聯誼會”的建議"
"论中国“官僚制度”","张锐","《观察》",1947,"第2卷 第7期","6-7","上海","張銳","論中國“官僚制度”"
"尾页：房屋·麦粉·报馆","保生","《观察》",1947,"第1卷 第19期","23","上海","保生","尾頁：房屋·麥粉·報館"
"读者投书：傅孟眞的文章","许金铿","《观察》",1947,"第2卷 第2期","1","上海","許金鏗","讀者投書：傅孟眞的文章"
"鸡蛋直立的故事","戴文赛","《观察》",1947,"第2卷 第2期","14，21","上海","戴文賽","雞蛋直立的故事"
"观察通信版：淮上血泪（附图）","梁马","《观察》",1947,"第3卷 第11期","14-15","上海","梁馬","觀察通信版：淮上血淚（附圖）"
"我们对于政府压迫民盟的看法","周炳琳","《观察》",1947,"第3卷 第11期","2","上海","周炳琳 金岳霖 趙紫宸","我們對于政府壓迫民盟的看法"
"我们对于政府压迫民盟的看法","金岳霖","《观察》",1947,"第3卷 第11期","2","上海","周炳琳 金岳霖 趙紫宸","我們對于政府壓迫民盟的看法"
"我们对于政府压迫民盟的看法","赵紫宸","《观察》",1947,"第3卷 第11期","2","上海","周炳琳 金岳霖 趙紫宸","我們對于政府壓迫民盟的看法"
"欧洲完了麽？","拉斯基","《观察》",1947,"第3卷 第17期","8-10","上海","(英)拉斯基","歐洲完了麽？"
"论保长：“从社会结构看中国”之三","胡庆钧","《观察》",1947,"第3卷 第17期","10-12","上海","胡慶鈞","論保長：“從社會結構看中國”之三"
"读者投书：关于新闻纸杂誌用纸节约办法","赵崇仁","《观察》",1947,"第3卷 第5期","1","上海","趙崇仁","讀者投書：關于新聞紙雜誌用紙節約辦法"
"书评：补评英文新字辞典","钱锺书","《观察》",1947,"第3卷 第5期","20","上海","錢鍾書","書評：補評英文新字辭典"
"“爲中国的农业试探一条出路”刊出后的响应","安平","《观察》",1947,"第3卷 第5期","21-22","上海","安平","“爲中國的農業試探一條出路”刊出後的響應"
"谈诗歌的晦涩","戴镏龄","《观察》",1947,"第3卷 第17期","19-18","上海","戴鎦齡","談詩歌的晦澀"
"读者投书：我在犯法中求生","伯识","《观察》",1947,"第3卷 第18期","1","上海","伯識","讀者投書：我在犯法中求生"
"读者投书：中国军人在前进中","任可忠","《观察》",1947,"第2卷 第18期","1，23","上海","任可忠","讀者投書：中國軍人在前進中"
"读者投书：二五减租","秦军","《观察》",1947,"第2卷 第18期","23","上海","秦軍","讀者投書：二五減租"
"读者投书：武岭兴学公然摊派","张明琴","《观察》",1947,"第2卷 第18期","23","上海","張明琴","讀者投書：武嶺興學公然攤派"
"读者投书：“命”的等级","孙进明","《观察》",1947,"第2卷 第7期","1","上海","孫進明","讀者投書：“命”的等級"
"读者投书：极爲欣赏","史明哲","《观察》",1947,"第3卷 第4期","1","上海","史明哲","讀者投書：極爲欣賞"
