"source","target","year","place","journal","weight"
"勃拉尼克(1945)","国际 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克(1945)","捷克斯洛伐克 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克(1945)","续完 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克(1945)","观察 (n)",1945,"上海","《时代杂志》",3
"勃拉尼克(1945)","解放运动 (n)",1945,"上海","《时代杂志》",3
"卡尔明(1945)","柏林 (n)",1945,"上海","《时代杂志》",3
"史大林(1945)","史大林 (n)",1945,"上海","《时代杂志》",3
"史大林(1945)","海军 (n)",1945,"上海","《时代杂志》",3
"史大林(1945)","红军 (n)",1945,"上海","《时代杂志》",3
"史大林(1945)","胜利 (n)",1945,"上海","《时代杂志》",3
"史大林(1945)","莫斯科 (n)",1945,"上海","《时代杂志》",3
"右民(1945)","中国 (n)",1945,"重庆","《中央周刊》",3
"叶靑(1945)","政治 (n)",1945,"重庆","《中央周刊》",3
"叶靑(1945)","民主 (n)",1945,"重庆","《中央周刊》",3
"叶青(1945)","民主 (n)",1945,"重庆","《中央周刊》",3
"孙宝毅(1945)","会议 (n)",1945,"重庆","《再生》",3
"巴斯金(1945)","历史学 (n)",1945,"上海","《时代杂志》",3
"巴斯金(1945)","反动 (n)",1945,"上海","《时代杂志》",3
"巴斯金(1945)","德国 (n)",1945,"上海","《时代杂志》",3
"平心(1945)","战后 (n)",1945,"上海","《周报(上海1945)》",3
"库士聂卓夫(1945)","海军 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","之后 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","德国 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","所见 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","沿途 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","红军 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","西行漫记 (n)",1945,"上海","《时代杂志》",3
"库尔干诺夫(1945)","进入 (n)",1945,"上海","《时代杂志》",3
"愚公(1945)","国难 (n)",1945,"重庆","《民主(重庆)》",3
"愚公(1945)","野记 (n)",1945,"重庆","《民主(重庆)》",3
"戈尔巴朵夫(1945)","之后 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","德国 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","所见 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","沿途 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","红军 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","西行漫记 (n)",1945,"上海","《时代杂志》",3
"戈尔巴朵夫(1945)","进入 (n)",1945,"上海","《时代杂志》",3
"戚礼朴(1945)","社会主义国家 (n)",1945,"上海","《时代杂志》",3
"戚礼朴(1945)","资本主义国家 (n)",1945,"上海","《时代杂志》",3
"新命(1945)","东南 (n)",1945,"重庆","《中央周刊》",3
"新命(1945)","硫磺岛 (n)",1945,"重庆","《中央周刊》",3
"新命(1945)","缅甸 (n)",1945,"重庆","《中央周刊》",3
"新命(1945)","美军 (n)",1945,"重庆","《中央周刊》",3
"新命(1945)","西线 (n)",1945,"重庆","《中央周刊》",3
"昭抡(1945)","会议 (n)",1945,"昆明","《民主周刊(昆明)》",3
"昭抡(1945)","柏林 (n)",1945,"昆明","《民主周刊(昆明)》",3
"景宋(1945)","前后 (n)",1945,"上海","《民主(上海)》",3
"景宋(1945)","遭难 (n)",1945,"上海","《民主(上海)》",3
"曹聚仁(1945)","冯友兰 (n)",1945,"上海","《周报(上海1945)》",3
"曹聚仁(1945)","理学 (n)",1945,"上海","《周报(上海1945)》",3
"曾资生(1945)","概略 (n)",1945,"重庆","《中央周刊》",3
"柯马洛夫(1945)","苏联 (n)",1945,"上海","《时代杂志》",3
"柳亚子(1945)","诗词 (n)",1945,"重庆","《民主(重庆)》",3
"梁寒操(1945)","青年 (n)",1945,"重庆","《中央周刊》",3
"波列伏伊(1945)","柏林 (n)",1945,"上海","《时代杂志》",3
"源天(1945)","笔尖 (n)",1945,"上海","《文萃》",3
"石啸冲(1945)","世界 (n)",1945,"重庆","《再生》",3
"石啸冲(1945)","中国 (n)",1945,"重庆","《再生》",3
"石啸冲(1945)","半月 (n)",1945,"重庆","《再生》",3
"石啸冲(1945)","国际 (n)",1945,"重庆","《再生》",3
"石啸冲(1945)","瞭望 (n)",1945,"重庆","《再生》",3
"祝世康(1945)","经济 (n)",1945,"重庆","《中华论坛》",3
"秦牧(1945)","屋荒 (n)",1945,"上海","《文萃》",3
"程澄之(1945)","一二 (n)",1945,"昆明","《民主周刊(昆明)》",3
"端木蕻良(1945)","特稿 (n)",1945,"上海","《文萃》",3
"罗曼(1945)","发展 (n)",1945,"上海","《时代杂志》",3
"罗曼(1945)","国际 (n)",1945,"上海","《时代杂志》",3
"罗曼(1945)","民主 (n)",1945,"上海","《时代杂志》",3
"罗曼(1945)","罗马尼亚 (n)",1945,"上海","《时代杂志》",3
"罗曼(1945)","观察 (n)",1945,"上海","《时代杂志》",3
"罗曼(1945)","道路 (n)",1945,"上海","《时代杂志》",3
"罗西(1945)","航讯 (n)",1945,"昆明","《民主周刊(昆明)》",3
"肥遯(1945)","谈屑 (n)",1945,"重庆","《民主(重庆)》",3
"胡毅(1945)","民主 (n)",1945,"昆明","《民主周刊(昆明)》",3
"胡毅(1945)","生活 (n)",1945,"昆明","《民主周刊(昆明)》",3
"莫馨娜(1945)","高尔基 (n)",1945,"上海","《时代杂志》",3
"葛洛斯曼(1945)","之路 (n)",1945,"上海","《时代杂志》",3
"葛洛斯曼(1945)","柏林 (n)",1945,"上海","《时代杂志》",3
"董秋斯(1945)","大事记 (n)",1945,"上海","《民主(上海)》",3
"董秋斯(1945)","太平洋战争 (n)",1945,"上海","《民主(上海)》",3
"蒋君章(1945)","中国 (n)",1945,"重庆","《中央周刊》",3
"许师愼(1945)","运动 (n)",1945,"重庆","《中央周刊》",3
"问梁(1945)","之页 (n)",1945,"上海","《国讯》",3
"问梁(1945)","经济 (n)",1945,"上海","《国讯》",3
"阿尔古斯(1945)","政潮 (n)",1945,"上海","《时代杂志》",3
"陈曦(1945)","重庆 (n)",1945,"上海","《国讯》",3
"顾德列伐蒂赫(1945)","柏林 (n)",1945,"上海","《时代杂志》",3
"马寅初(1945)","问题 (n)",1945,"重庆","《民主(重庆)》",3
"黄巨兴(1945)","英国 (n)",1945,"昆明","《民主周刊(昆明)》",3
"黄洛(1945)","杂写 (n)",1945,"重庆","《中央周刊》",3
"黄洛(1945)","重庆 (n)",1945,"重庆","《中央周刊》",3
"黄炎培(1945)","先生 (n)",1945,"上海","《国讯》",3
"黄炎培(1945)","延安 (n)",1945,"上海","《国讯》",3
"黄炎培(1945)","日记 (n)",1945,"上海","《国讯》",3
"万影(1945)","云南 (n)",1945,"上海","《国讯》",2
"丘斌存(1945)","经济 (n)",1945,"重庆","《中央周刊》",2
"丘斌存(1945)","问题 (n)",1945,"重庆","《中央周刊》",2
"严景曜(1945)","讲话 (n)",1945,"上海","《民主(上海)》",2
"严景耀(1945)","民主 (n)",1945,"上海","《民主(上海)》",2
"严问天(1945)","政治 (n)",1945,"上海","《国讯》",2
"丰子恺(1945)","人间 (n)",1945,"上海","《周报(上海1945)》",2
"伊巴鲁里(1945)","助手 (n)",1945,"上海","《时代杂志》",2
"伊巴鲁里(1945)","希特勒 (n)",1945,"上海","《时代杂志》",2
"伊巴鲁里(1945)","掠夺者 (n)",1945,"上海","《时代杂志》",2
"伊巴鲁里(1945)","西班牙 (n)",1945,"上海","《时代杂志》",2
"伊戈斯(1945)","日本 (n)",1945,"上海","《时代杂志》",2
"但维斯(1945)","工作 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","中国 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","八一 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","内战 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","和平 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","物价 (n)",1945,"上海","《国讯》",2
"俞颂华(1945)","第八 (n)",1945,"上海","《国讯》",2
"元璧(1945)","世界 (n)",1945,"重庆","《中央周刊》",2
"元璧(1945)","假如 (n)",1945,"重庆","《中央周刊》",2
"光年(1945)","人民 (n)",1945,"昆明","《民主周刊(昆明)》",2
"光年(1945)","提高 (n)",1945,"昆明","《民主周刊(昆明)》",2
"光年(1945)","改造 (n)",1945,"昆明","《民主周刊(昆明)》",2
"光未然(1945)","民主 (n)",1945,"昆明","《民主周刊(昆明)》",2
"光未然(1945)","诚实 (n)",1945,"昆明","《民主周刊(昆明)》",2
"克年席夫(1945)","防禦 (n)",1945,"重庆","《中央周刊》",2
"农慕之(1945)","殖民地 (n)",1945,"昆明","《民主周刊(昆明)》",2
"农慕之(1945)","问题 (n)",1945,"昆明","《民主周刊(昆明)》",2
"冬予里(1945)","对华政策 (n)",1945,"昆明","《民主周刊(昆明)》",2
"冯玉祥(1945)","假如 (n)",1945,"重庆","《中央周刊》",2
"冯玉祥(1945)","民主 (n)",1945,"重庆","《民主(重庆)》",2
"刘赤柯夫(1945)","宪法 (n)",1945,"上海","《时代杂志》",2
"加里宁(1945)","加里宁 (n)",1945,"上海","《时代杂志》",2
"加里宁(1945)","复员 (n)",1945,"上海","《时代杂志》",2
"加里宁(1945)","生活 (n)",1945,"上海","《时代杂志》",2
"加里宁(1945)","胜利 (n)",1945,"上海","《时代杂志》",2
"加里宁(1945)","苏联 (n)",1945,"上海","《时代杂志》",2
"努生(1945)","人民 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","努力 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","参政会 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","国民大会 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","应否 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","问题 (n)",1945,"昆明","《民主周刊(昆明)》",2
"努生(1945)","青年 (n)",1945,"昆明","《民主周刊(昆明)》",2
"卡尔平斯基(1945)","苏联 (n)",1945,"上海","《时代杂志》",2
"卢蕻(1945)","一些 (n)",1945,"昆明","《民主周刊(昆明)》",2
"卢蕻(1945)","文学 (n)",1945,"昆明","《民主周刊(昆明)》",2
"卢蕻(1945)","架沙 (n)",1945,"昆明","《民主周刊(昆明)》",2
"卢蕻(1945)","特务 (n)",1945,"昆明","《民主周刊(昆明)》",2
"卢蕻(1945)","褫下 (n)",1945,"昆明","《民主周刊(昆明)》",2
"叔梁(1945)","政治协商会议 (n)",1945,"上海","《民主(上海)》",2
"史大林(1945)","伟大 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","全世界 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","卫国战争 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","廿四 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","德国 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","战斗员 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","民族 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","爱好 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","电贺 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","第三 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","自由 (n)",1945,"上海","《时代杂志》",2
"史大林(1945)","覆电 (n)",1945,"上海","《时代杂志》",2
"史米尔诺夫(1945)","列宁 (n)",1945,"上海","《时代杂志》",2
"史米尔诺夫(1945)","十月革命 (n)",1945,"上海","《时代杂志》",2
"史迁宾(1945)","原因 (n)",1945,"上海","《时代杂志》",2
"史迁宾(1945)","工业 (n)",1945,"上海","《时代杂志》",2
"史迁宾(1945)","战争 (n)",1945,"上海","《时代杂志》",2
"史迁宾(1945)","苏联 (n)",1945,"上海","《时代杂志》",2
"史迁宾(1945)","获胜 (n)",1945,"上海","《时代杂志》",2
"右民(1945)","途径 (n)",1945,"重庆","《中央周刊》",2
"吴晗(1945)","人民 (n)",1945,"昆明","《民主周刊(昆明)》",2
"吴晗(1945)","历史 (n)",1945,"昆明","《民主周刊(昆明)》",2
"吴约翰(1945)","监狱 (n)",1945,"重庆","《中央周刊》",2
"吴约翰(1945)","虹口 (n)",1945,"重庆","《中央周刊》",2
"吴铁城(1945)","建国 (n)",1945,"重庆","《中央周刊》",2
"周冠羣(1945)","工作 (n)",1945,"重庆","《中央周刊》",2
"周建人(1945)","中国 (n)",1945,"上海","《民主(上海)》",2
"周建人(1945)","人民 (n)",1945,"上海","《民主(上海)》",2
"周敦礼(1945)","义务劳动 (n)",1945,"重庆","《中央周刊》",2
"周谷城(1945)","政治 (n)",1945,"重庆","《中华论坛》",2
"周谷城(1945)","民主 (n)",1945,"重庆","《中华论坛》",2
"嘉喜善(1945)","插曲 (n)",1945,"上海","《时代杂志》",2
"土匈诺夫(1945)","恩格斯 (n)",1945,"上海","《时代杂志》",2
"夏孟辉(1945)","八一 (n)",1945,"上海","《国讯》",2
"奥勃拉齐卓夫(1945)","两月记 (n)",1945,"上海","《时代杂志》",2
"奥勃拉齐卓夫(1945)","劳动阶级 (n)",1945,"上海","《时代杂志》",2
"奥勃拉齐卓夫(1945)","双周刊 (n)",1945,"上海","《时代杂志》",2
"奥勃拉齐卓夫(1945)","巴尔干 (n)",1945,"上海","《时代杂志》",2
"奥勃拉齐卓夫(1945)","战争 (n)",1945,"上海","《时代杂志》",2
"奥勃拉齐卓夫(1945)","译自 (n)",1945,"上海","《时代杂志》",2
"子叶(1945)","研究 (n)",1945,"上海","《时代杂志》",2
"子叶(1945)","高尔基 (n)",1945,"上海","《时代杂志》",2
"孟南(1945)","推进 (n)",1945,"昆明","《民主周刊(昆明)》",2
"孟南(1945)","青年 (n)",1945,"昆明","《民主周刊(昆明)》",2
"守仁(1945)","我国 (n)",1945,"重庆","《中央周刊》",2
"守仁(1945)","战时 (n)",1945,"重庆","《中央周刊》",2
"守仁(1945)","经济 (n)",1945,"重庆","《中央周刊》",2
"守仁(1945)","认识 (n)",1945,"重庆","《中央周刊》",2
"守巧夫(1945)","国际局势 (n)",1945,"上海","《时代杂志》",2
"守巧夫(1945)","德国 (n)",1945,"上海","《时代杂志》",2
"守巧夫(1945)","检讨 (n)",1945,"上海","《时代杂志》",2
"宋孟桃(1945)","文化 (n)",1945,"重庆","《中央周刊》",2
"宾符(1945)","会议 (n)",1945,"上海","《民主(上海)》",2
"宾符(1945)","外长 (n)",1945,"上海","《民主(上海)》",2
"尊闻(1945)","杂志 (n)",1945,"上海","《民主(上海)》",2
"尊闻(1945)","读史 (n)",1945,"上海","《民主(上海)》",2
"小鱼(1945)","会议 (n)",1945,"上海","《国讯》",2
"小鱼(1945)","美国 (n)",1945,"上海","《国讯》",2
"屠西(1945)","成都 (n)",1945,"重庆","《民主(重庆)》",2
"左拉(1945)","八年 (n)",1945,"上海","《周报(上海1945)》",2
"左拉(1945)","无表情 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","失业 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","安定 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","宪法 (n)",1945,"上海","《时代杂志》",2
"平心(1945)","民生 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","社会 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","福斯 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","萧条 (n)",1945,"上海","《周报(上海1945)》",2
"平心(1945)","贫困 (n)",1945,"上海","《周报(上海1945)》",2
"库士聂卓夫(1945)","命令 (n)",1945,"上海","《时代杂志》",2
"引流(1945)","世界 (n)",1945,"上海","《国讯》",2
"引流(1945)","时事 (n)",1945,"上海","《国讯》",2
"张一凡(1945)","清理 (n)",1945,"上海","《周报(上海1945)》",2
"张一凡(1945)","问题 (n)",1945,"上海","《民主(上海)》",2
"张勉(1945)","书报 (n)",1945,"重庆","《中央周刊》",2
"张勉(1945)","春秋 (n)",1945,"重庆","《中央周刊》",2
"张君劢(1945)","政治 (n)",1945,"上海","《文萃》",2
"张君劢(1945)","政治 (n)",1945,"重庆","《再生》",2
"张德粹(1945)","今后 (n)",1945,"重庆","《中央周刊》",2
"张德粹(1945)","必须 (n)",1945,"重庆","《中央周刊》",2
"张德粹(1945)","行政 (n)",1945,"重庆","《中央周刊》",2
"张文伯(1945)","中国 (n)",1945,"重庆","《中央周刊》",2
"张文伯(1945)","归来 (n)",1945,"重庆","《中央周刊》",2
"张文伯(1945)","民主 (n)",1945,"重庆","《中央周刊》",2
"张文伯(1945)","问题 (n)",1945,"重庆","《中央周刊》",2
"张申府(1945)","政治 (n)",1945,"重庆","《民主(重庆)》",2
"张申府(1945)","逻辑 (n)",1945,"重庆","《民主(重庆)》",2
"张礼千(1945)","战局 (n)",1945,"上海","《国讯》",2
"徐植(1945)","人民 (n)",1945,"昆明","《民主周刊(昆明)》",2
"徐植(1945)","独立运动 (n)",1945,"昆明","《民主周刊(昆明)》",2
"徐植(1945)","越南 (n)",1945,"昆明","《民主周刊(昆明)》",2
"徐相任(1945)","提议 (n)",1945,"上海","《民主(上海)》",2
"徐苏灵(1945)","复员 (n)",1945,"重庆","《中央周刊》",2
"徐行(1945)","边疆 (n)",1945,"重庆","《中央周刊》",2
"思慕(1945)","欧洲 (n)",1945,"昆明","《民主周刊(昆明)》",2
"慕英(1945)","民主 (n)",1945,"昆明","《民主周刊(昆明)》",2
"戈洛夫(1945)","战略 (n)",1945,"上海","《时代杂志》",2
"戚陈德珍(1945)","问题 (n)",1945,"上海","《国讯》",2
"拾风(1945)","旅途 (n)",1945,"上海","《周报(上海1945)》",2
"拾风(1945)","杂记 (n)",1945,"上海","《周报(上海1945)》",2
"斯密诺夫(1945)","战略 (n)",1945,"上海","《时代杂志》",2
"新命(1945)","信箱 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","克里米亚 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","吕宋 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","大陆 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","战争 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","方面 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","日本 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","本土 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","琉球 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","登陆 (n)",1945,"重庆","《中央周刊》",2
"新命(1945)","青年 (n)",1945,"重庆","《中央周刊》",2
"施坦因(1945)","政治 (n)",1945,"上海","《时代杂志》",2
"施坦因(1945)","梵蒂冈 (n)",1945,"上海","《时代杂志》",2
"施坦因(1945)","活动 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","000 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","写作 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","学习 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","逝世 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","雕像 (n)",1945,"上海","《时代杂志》",2
"施维卓夫(1945)","高氏 (n)",1945,"上海","《时代杂志》",2
"施艾(1945)","原子弹 (n)",1945,"重庆","《民主(重庆)》",2
"施贻(1945)","教育 (n)",1945,"重庆","《中华论坛》",2
"昭抡(1945)","华沙 (n)",1945,"昆明","《民主周刊(昆明)》",2
"昭抡(1945)","和平 (n)",1945,"昆明","《民主周刊(昆明)》",2
"昭抡(1945)","恢复 (n)",1945,"昆明","《民主周刊(昆明)》",2
"昭抡(1945)","欧战 (n)",1945,"昆明","《民主周刊(昆明)》",2
"昭抡(1945)","欧洲 (n)",1945,"昆明","《民主周刊(昆明)》",2
"昭抡(1945)","胜利 (n)",1945,"昆明","《民主周刊(昆明)》",2
"景宋(1945)","先生 (n)",1945,"上海","《文萃》",2
"景宋(1945)","几个 (n)",1945,"上海","《周报(上海1945)》",2
"景宋(1945)","文学遗产 (n)",1945,"上海","《周报(上海1945)》",2
"景宋(1945)","研究 (n)",1945,"上海","《周报(上海1945)》",2
"景宋(1945)","问题 (n)",1945,"上海","《周报(上海1945)》",2
"景宋(1945)","鲁迅 (n)",1945,"上海","《周报(上海1945)》",2
"景宋(1945)","鲁迅 (n)",1945,"上海","《文萃》",2
"曾守约(1945)","中国 (n)",1945,"重庆","《中华论坛》",2
"曾琦(1945)","先生 (n)",1945,"重庆","《民主(重庆)》",2
"朱斆春(1945)","复员 (n)",1945,"重庆","《中央周刊》",2
"李战林(1945)","民主 (n)",1945,"重庆","《再生》",2
"李翁诺夫(1945)","柏林 (n)",1945,"上海","《时代杂志》",2
"杨__(1945)","假如 (n)",1945,"重庆","《中央周刊》",2
"杨保民(1945)","八年 (n)",1945,"重庆","《中央周刊》",2
"杨保民(1945)","来的我 (n)",1945,"重庆","《中央周刊》",2
"杨先义(1945)","友情 (n)",1945,"重庆","《中央周刊》",2
"杨先义(1945)","珍贵 (n)",1945,"重庆","《中央周刊》",2
"杨槐(1945)","特写 (n)",1945,"重庆","《中央周刊》",2
"查斯拉夫斯基(1945)","柏林 (n)",1945,"上海","《时代杂志》",2
"查斯拉夫斯基(1945)","组织 (n)",1945,"上海","《时代杂志》",2
"柯马洛夫(1945)","二十周年 (n)",1945,"上海","《时代杂志》",2
"柯马洛夫(1945)","二百 (n)",1945,"上海","《时代杂志》",2
"柯马洛夫(1945)","学术 (n)",1945,"上海","《时代杂志》",2
"柳亚子(1945)","苏联 (n)",1945,"上海","《时代杂志》",2
"柳亚子(1945)","苏联 (n)",1945,"上海","《民主(上海)》",2
"柳宗元(1945)","待续 (n)",1945,"上海","《周报(上海1945)》",2
"柳诒(1945)","民主 (n)",1945,"重庆","《再生》",2
"树柯夫(1945)","柏林 (n)",1945,"上海","《时代杂志》",2
"梁公任(1945)","一次 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","三十一日 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","不要 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","世界 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","协调 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","和平 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","国内 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","战局 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","胜利 (n)",1945,"上海","《国讯》",2
"梁公任(1945)","阶段 (n)",1945,"上海","《国讯》",2
