"source","target","year","place","weight"
"刘铁华(1945)","《周报(上海1945)》",1945,"上海",2
"刘铁华(1945)","《民主(上海)》",1945,"上海",2
"力扬(1945)","《周报(上海1945)》",1945,"上海",2
"千里(1945)","《国讯》",1945,"上海",2
"华心(1945)","《民主周刊(昆明)》",1945,"昆明",2
"华阳(1945)","《民主周刊(昆明)》",1945,"昆明",2
"卢蕻(1945)","《民主周刊(昆明)》",1945,"昆明",2
"叶圣陶(1945)","《周报(上海1945)》",1945,"上海",2
"吴斐丹(1945)","《国讯》",1945,"上海",2
"吴清友(1945)","《国讯》",1945,"上海",2
"周予同(1945)","《周报(上海1945)》",1945,"上海",2
"周伯棣(1945)","《国讯》",1945,"上海",2
"周谷城(1945)","《中华论坛》",1945,"重庆",2
"夏衍(1945)","《周报(上海1945)》",1945,"上海",2
"外卢(1945)","《中华论坛》",1945,"重庆",2
"夷初(1945)","《周报(上海1945)》",1945,"上海",2
"奴齐(1945)","《民主(上海)》",1945,"上海",2
"娄立齐(1945)","《民主(上海)》",1945,"上海",2
"子敬(1945)","《再生》",1945,"重庆",2
"孟心坚(1945)","《民主周刊(昆明)》",1945,"昆明",2
"宾符(1945)","《民主(上海)》",1945,"上海",2
"尚丁(1945)","《国讯》",1945,"上海",2
"屠西(1945)","《民主(重庆)》",1945,"重庆",2
"巴金(1945)","《周报(上海1945)》",1945,"上海",2
"张一凡(1945)","《周报(上海1945)》",1945,"上海",2
"张子毅(1945)","《民主周刊(昆明)》",1945,"昆明",2
"张澜(1945)","《周报(上海1945)》",1945,"上海",2
"张申府(1945)","《民主(重庆)》",1945,"重庆",2
"张若达(1945)","《周报(上海1945)》",1945,"上海",2
"徐植(1945)","《民主周刊(昆明)》",1945,"昆明",2
"拾风(1945)","《周报(上海1945)》",1945,"上海",2
"曹刚(1945)","《民主周刊(昆明)》",1945,"昆明",2
"曹萝阳(1945)","《民主周刊(昆明)》",1945,"昆明",2
"李公樸(1945)","《民主(重庆)》",1945,"重庆",2
"李凌飞(1945)","《国讯》",1945,"上海",2
"李及(1945)","《民主(重庆)》",1945,"重庆",2
"李战林(1945)","《再生》",1945,"重庆",2
"李玄伯(1945)","《民主(上海)》",1945,"上海",2
"杨刚(1945)","《周报(上海1945)》",1945,"上海",2
"柏寒(1945)","《民主周刊(昆明)》",1945,"昆明",2
"柳诒(1945)","《再生》",1945,"重庆",2
"梁漱溟(1945)","《民主(重庆)》",1945,"重庆",2
"沈志远(1945)","《民主(重庆)》",1945,"重庆",2
"沈涛(1945)","《周报(上海1945)》",1945,"上海",2
"洛扬(1945)","《民主周刊(昆明)》",1945,"昆明",2
"燕士(1945)","《民主(重庆)》",1945,"重庆",2
"王以中(1945)","《民主(上海)》",1945,"上海",2
"王伯祥(1945)","《周报(上海1945)》",1945,"上海",2
"王沿津(1945)","《国讯》",1945,"上海",2
"王铁华(1945)","《周报(上海1945)》",1945,"上海",2
"章伯钧(1945)","《民主(重庆)》",1945,"重庆",2
"端木泉(1945)","《民主(上海)》",1945,"上海",2
"罗隆基(1945)","《民主(重庆)》",1945,"重庆",2
"胡剑(1945)","《民主周刊(昆明)》",1945,"昆明",2
"艾秋飙(1945)","《民主周刊(昆明)》",1945,"昆明",2
"苏尔齐伯格(1945)","《再生》",1945,"重庆",2
"范蕙(1945)","《周报(上海1945)》",1945,"上海",2
"萧明(1945)","《民主(重庆)》",1945,"重庆",2
"葭水(1945)","《周报(上海1945)》",1945,"上海",2
"袁西华(1945)","《民主周刊(昆明)》",1945,"昆明",2
"许傑(1945)","《民主(上海)》",1945,"上海",2
"许杰(1945)","《周报(上海1945)》",1945,"上海",2
"费稳(1945)","《再生》",1945,"重庆",2
"贺依(1945)","《民主(上海)》",1945,"上海",2
"邓初民(1945)","《中华论坛》",1945,"重庆",2
"邓初民(1945)","《再生》",1945,"重庆",2
"郑森禹(1945)","《民主(上海)》",1945,"上海",2
"郭沫若(1945)","《中华论坛》",1945,"重庆",2
"郭沫若(1945)","《周报(上海1945)》",1945,"上海",2
"金枫(1945)","《周报(上海1945)》",1945,"上海",2
"镜民(1945)","《国讯》",1945,"上海",2
"陆钦墀(1945)","《民主周刊(昆明)》",1945,"昆明",2
"陈康成(1945)","《民主周刊(昆明)》",1945,"昆明",2
"陈志中(1945)","《民主(重庆)》",1945,"重庆",2
"陈曦(1945)","《国讯》",1945,"上海",2
"陈鼎龢(1945)","《再生》",1945,"重庆",2
"项黎(1945)","《民主(重庆)》",1945,"重庆",2
"马哲民(1945)","《民主(重庆)》",1945,"重庆",2
"骆闻(1945)","《民主(重庆)》",1945,"重庆",2
"高扬(1945)","《民主周刊(昆明)》",1945,"昆明",2
"魏矢(1945)","《再生》",1945,"重庆",2
"鲁小詹(1945)","《民主周刊(昆明)》",1945,"昆明",2
"鲍乐蒂(1945)","《周报(上海1945)》",1945,"上海",2
"黄炎培(1945)","《再生》",1945,"重庆",2
"黄炎培(1945)","《周报(上海1945)》",1945,"上海",2
"黄药眠(1945)","《民主周刊(昆明)》",1945,"昆明",2
"黎舫(1945)","《周报(上海1945)》",1945,"上海",2
"Bercovici，K.(1945)","《民主周刊(昆明)》",1945,"昆明",1
"Clark，B.(1945)","《周报(上海1945)》",1945,"上海",1
"F._Geyrasi(1945)","《中华论坛》",1945,"重庆",1
"Hogg，P.(1945)","《民主周刊(昆明)》",1945,"昆明",1
"Milner，I.(1945)","《再生》",1945,"重庆",1
"一学生(1945)","《民主(上海)》",1945,"上海",1
"一生(1945)","《民主(上海)》",1945,"上海",1
"丁一(1945)","《国讯》",1945,"上海",1
"丁易(1945)","《民主周刊(昆明)》",1945,"昆明",1
"丁玲(1945)","《周报(上海1945)》",1945,"上海",1
"丁西林(1945)","《周报(上海1945)》",1945,"上海",1
"万影(1945)","《国讯》",1945,"上海",1
"万英(1945)","《民主周刊(昆明)》",1945,"昆明",1
"不耳(1945)","《周报(上海1945)》",1945,"上海",1
"丘八大(1945)","《周报(上海1945)》",1945,"上海",1
"东方晦之(1945)","《周报(上海1945)》",1945,"上海",1
"东方晦之(1945)","《民主(上海)》",1945,"上海",1
"严亚明(1945)","《周报(上海1945)》",1945,"上海",1
"严信民(1945)","《中华论坛》",1945,"重庆",1
"严克(1945)","《周报(上海1945)》",1945,"上海",1
"严奇(1945)","《周报(上海1945)》",1945,"上海",1
"严景矅(1945)","《民主(上海)》",1945,"上海",1
"严问天(1945)","《国讯》",1945,"上海",1
"丹尼尔(1945)","《国讯》",1945,"上海",1
"于蒪(1945)","《民主(重庆)》",1945,"重庆",1
"以君(1945)","《民主(上海)》",1945,"上海",1
"任华(1945)","《民主(上海)》",1945,"上海",1
"任四维(1945)","《周报(上海1945)》",1945,"上海",1
"伊利奥特(1945)","《国讯》",1945,"上海",1
"伍同伐(1945)","《再生》",1945,"重庆",1
"伍启元(1945)","《民主周刊(昆明)》",1945,"昆明",1
"伯伟(1945)","《再生》",1945,"重庆",1
"伯华(1945)","《民主周刊(昆明)》",1945,"昆明",1
"伯韩(1945)","《民主周刊(昆明)》",1945,"昆明",1
"但维斯(1945)","《国讯》",1945,"上海",1
"何其芳(1945)","《周报(上海1945)》",1945,"上海",1
"何惧(1945)","《民主(重庆)》",1945,"重庆",1
"何方(1945)","《民主(重庆)》",1945,"重庆",1
"何达(1945)","《民主周刊(昆明)》",1945,"昆明",1
"余伯约(1945)","《民主(上海)》",1945,"上海",1
"余剡溪(1945)","《周报(上海1945)》",1945,"上海",1
"余剡溪(1945)","《民主(重庆)》",1945,"重庆",1
"侯外卢(1945)","《中华论坛》",1945,"重庆",1
"侯外庐(1945)","《国讯》",1945,"上海",1
"侯外庐(1945)","《民主(重庆)》",1945,"重庆",1
"俊生(1945)","《再生》",1945,"重庆",1
"俞焕文(1945)","《国讯》",1945,"上海",1
"俞颂华(1945)","《再生》",1945,"重庆",1
"俞颂华(1945)","《周报(上海1945)》",1945,"上海",1
"傅彬然(1945)","《国讯》",1945,"上海",1
"傅雷(1945)","《周报(上海1945)》",1945,"上海",1
"光军(1945)","《国讯》",1945,"上海",1
"光涛(1945)","《再生》",1945,"重庆",1
"克士(1945)","《周报(上海1945)》",1945,"上海",1
"全杨(1945)","《民主周刊(昆明)》",1945,"昆明",1
"公健(1945)","《再生》",1945,"重庆",1
"公孙未央(1945)","《民主周刊(昆明)》",1945,"昆明",1
"再生侯北人(1945)","《周报(上海1945)》",1945,"上海",1
"冯乃超(1945)","《民主(重庆)》",1945,"重庆",1
"冯克(1945)","《周报(上海1945)》",1945,"上海",1
"冯克(1945)","《民主(重庆)》",1945,"重庆",1
"冯克(1945)","《民主周刊(昆明)》",1945,"昆明",1
"冯少山(1945)","《周报(上海1945)》",1945,"上海",1
"冯玉祥(1945)","《民主(重庆)》",1945,"重庆",1
"冶人(1945)","《民主(重庆)》",1945,"重庆",1
"冷红(1945)","《民主(上海)》",1945,"上海",1
"冷遹(1945)","《国讯》",1945,"上海",1
"冷风(1945)","《国讯》",1945,"上海",1
"刘尊棋(1945)","《国讯》",1945,"上海",1
"刘清扬(1945)","《再生》",1945,"重庆",1
"刘瑞林(1945)","《中华论坛》",1945,"重庆",1
"力扬(1945)","《民主(重庆)》",1945,"重庆",1
"劳莹(1945)","《周报(上海1945)》",1945,"上海",1
"北人(1945)","《周报(上海1945)》",1945,"上海",1
"北人(1945)","《民主(重庆)》",1945,"重庆",1
"华臣(1945)","《周报(上海1945)》",1945,"上海",1
"卢剑公(1945)","《周报(上海1945)》",1945,"上海",1
"卢铎(1945)","《周报(上海1945)》",1945,"上海",1
"友非(1945)","《国讯》",1945,"上海",1
"反对内战(1945)","《中华论坛》",1945,"重庆",1
"叔伟(1945)","《民主周刊(昆明)》",1945,"昆明",1
"叔梁(1945)","《民主(上海)》",1945,"上海",1
"史国卫(1945)","《民主周刊(昆明)》",1945,"昆明",1
"史笃(1945)","《民主(上海)》",1945,"上海",1
"叶君(1945)","《周报(上海1945)》",1945,"上海",1
"叶圣陶(1945)","《民主(上海)》",1945,"上海",1
"叶圣陶(1945)","《民主(重庆)》",1945,"重庆",1
"叶文雄(1945)","《中华论坛》",1945,"重庆",1
"司马星(1945)","《民主(重庆)》",1945,"重庆",1
"吉人(1945)","《民主周刊(昆明)》",1945,"昆明",1
"吕剑(1945)","《民主周刊(昆明)》",1945,"昆明",1
"吕德润(1945)","《周报(上海1945)》",1945,"上海",1
"吴世昌(1945)","《周报(上海1945)》",1945,"上海",1
"吴大琨(1945)","《民主(上海)》",1945,"上海",1
"吴晓(1945)","《民主周刊(昆明)》",1945,"昆明",1
"吴清友(1945)","《民主(重庆)》",1945,"重庆",1
"吴王琨(1945)","《民主(上海)》",1945,"上海",1
"吴祖光(1945)","《民主(重庆)》",1945,"重庆",1
"吴纪(1945)","《民主周刊(昆明)》",1945,"昆明",1
"吴荣甲(1945)","《国讯》",1945,"上海",1
"吴藻溪(1945)","《国讯》",1945,"上海",1
"吴铁(1945)","《周报(上海1945)》",1945,"上海",1
"周依维(1945)","《民主周刊(昆明)》",1945,"昆明",1
"周先庚(1945)","《民主周刊(昆明)》",1945,"昆明",1
"周振甫(1945)","《民主(上海)》",1945,"上海",1
"周斧冰(1945)","《国讯》",1945,"上海",1
"周波(1945)","《中华论坛》",1945,"重庆",1
"周煦良(1945)","《民主(上海)》",1945,"上海",1
"周知(1945)","《再生》",1945,"重庆",1
"周知(1945)","《民主(重庆)》",1945,"重庆",1
"唐庆增(1945)","《周报(上海1945)》",1945,"上海",1
"唐弢(1945)","《周报(上海1945)》",1945,"上海",1
"唐弢(1945)","《民主(上海)》",1945,"上海",1
"唐秉文(1945)","《周报(上海1945)》",1945,"上海",1
"坦宁保姆(1945)","《中华论坛》",1945,"重庆",1
"夏孟辉(1945)","《国讯》",1945,"上海",1
"夏炎德(1945)","《国讯》",1945,"上海",1
"夏迪蒙(1945)","《再生》",1945,"重庆",1
"大愿(1945)","《国讯》",1945,"上海",1
"大荒(1945)","《再生》",1945,"重庆",1
"天凡(1945)","《民主周刊(昆明)》",1945,"昆明",1
"天父(1945)","《民主周刊(昆明)》",1945,"昆明",1
"天顽(1945)","《民主(上海)》",1945,"上海",1
"奥凯(1945)","《民主(重庆)》",1945,"重庆",1
"姚苏凤(1945)","《周报(上海1945)》",1945,"上海",1
"姜庆湘(1945)","《中华论坛》",1945,"重庆",1
"姜庆湘(1945)","《民主(重庆)》",1945,"重庆",1
"姜鹏翊(1945)","《民主周刊(昆明)》",1945,"昆明",1
"存真(1945)","《民主(上海)》",1945,"上海",1
"孙亚夫(1945)","《再生》",1945,"重庆",1
"孙宝毅(1945)","《再生》",1945,"重庆",1
"孙起孟(1945)","《国讯》",1945,"上海",1
"孟昌(1945)","《中华论坛》",1945,"重庆",1
"安约吾(1945)","《中华论坛》",1945,"重庆",1
"安逸(1945)","《民主(上海)》",1945,"上海",1
"宣谛之(1945)","《民主(重庆)》",1945,"重庆",1
"宦乡(1945)","《周报(上海1945)》",1945,"上海",1
"宧乡(1945)","《周报(上海1945)》",1945,"上海",1
"寿生(1945)","《民主周刊(昆明)》",1945,"昆明",1
"尊立(1945)","《周报(上海1945)》",1945,"上海",1
"小羽(1945)","《周报(上海1945)》",1945,"上海",1
"小鱼(1945)","《民主周刊(昆明)》",1945,"昆明",1
"少之(1945)","《民主(重庆)》",1945,"重庆",1
"尔咸(1945)","《国讯》",1945,"上海",1
"尚钺(1945)","《民主周刊(昆明)》",1945,"昆明",1
"尚铖(1945)","《民主周刊(昆明)》",1945,"昆明",1
"尚青禾(1945)","《国讯》",1945,"上海",1
"屠西(1945)","《周报(上海1945)》",1945,"上海",1
"左舜生(1945)","《周报(上海1945)》",1945,"上海",1
"巴尔契斯基(1945)","《中华论坛》",1945,"重庆",1
"师陀(1945)","《民主(上海)》",1945,"上海",1
"平心(1945)","《民主(上海)》",1945,"上海",1
"庄圻泰(1945)","《周报(上海1945)》",1945,"上海",1
"庄永(1945)","《周报(上海1945)》",1945,"上海",1
"张东皋(1945)","《周报(上海1945)》",1945,"上海",1
"张东荪(1945)","《民主(重庆)》",1945,"重庆",1
"张东荪(1945)","《民主周刊(昆明)》",1945,"昆明",1
"张凤举(1945)","《民主(上海)》",1945,"上海",1
"张刚(1945)","《民主周刊(昆明)》",1945,"昆明",1
"张君劢(1945)","《再生》",1945,"重庆",1
"张宏(1945)","《周报(上海1945)》",1945,"上海",1
"张志让(1945)","《周报(上海1945)》",1945,"上海",1
"张志龢(1945)","《民主(重庆)》",1945,"重庆",1
"张恨水(1945)","《周报(上海1945)》",1945,"上海",1
"张时俊(1945)","《民主周刊(昆明)》",1945,"昆明",1
"张明养(1945)","《国讯》",1945,"上海",1
"张栋举(1945)","《民主(重庆)》",1945,"重庆",1
"张淦(1945)","《周报(上海1945)》",1945,"上海",1
"张珏(1945)","《周报(上海1945)》",1945,"上海",1
"张申府(1945)","《再生》",1945,"重庆",1
"张申府(1945)","《国讯》",1945,"上海",1
"张竞存(1945)","《周报(上海1945)》",1945,"上海",1
"张西曼(1945)","《国讯》",1945,"上海",1
"张远昕(1945)","《周报(上海1945)》",1945,"上海",1
"张雪澄(1945)","《国讯》",1945,"上海",1
"张鸿增(1945)","《周报(上海1945)》",1945,"上海",1
"彭松(1945)","《民主(重庆)》",1945,"重庆",1
"徐修(1945)","《民主周刊(昆明)》",1945,"昆明",1
"徐如免(1945)","《民主周刊(昆明)》",1945,"昆明",1
"徐撤(1945)","《民主(上海)》",1945,"上海",1
"徐相任(1945)","《民主(上海)》",1945,"上海",1
"徐系(1945)","《周报(上海1945)》",1945,"上海",1
"徐调孚(1945)","《民主(上海)》",1945,"上海",1
"徐郎(1945)","《民主(重庆)》",1945,"重庆",1
"徐铸成(1945)","《周报(上海1945)》",1945,"上海",1
"慕英(1945)","《民主周刊(昆明)》",1945,"昆明",1
"戎戈(1945)","《周报(上海1945)》",1945,"上海",1
"戚陈德珍(1945)","《国讯》",1945,"上海",1
"戴寒波(1945)","《周报(上海1945)》",1945,"上海",1
"房龙(1945)","《中华论坛》",1945,"重庆",1
"托尔斯泰(1945)","《民主(上海)》",1945,"上海",1
"抱贞(1945)","《再生》",1945,"重庆",1
"拉铁摩尔(1945)","《国讯》",1945,"上海",1
"振寰(1945)","《民主(上海)》",1945,"上海",1
"敏之(1945)","《民主(上海)》",1945,"上海",1
"文宜(1945)","《民主周刊(昆明)》",1945,"昆明",1
"斯诺(1945)","《民主(上海)》",1945,"上海",1
"新武(1945)","《民主(上海)》",1945,"上海",1
"方与严(1945)","《民主(重庆)》",1945,"重庆",1
"方扬(1945)","《民主(重庆)》",1945,"重庆",1
"方治平(1945)","《民主(重庆)》",1945,"重庆",1
"方禺(1945)","《民主(上海)》",1945,"上海",1
"施佑铭(1945)","《周报(上海1945)》",1945,"上海",1
"施复亮(1945)","《周报(上海1945)》",1945,"上海",1
"施艾(1945)","《中华论坛》",1945,"重庆",1
"施艾(1945)","《民主(重庆)》",1945,"重庆",1
"施贻(1945)","《中华论坛》",1945,"重庆",1
"明养(1945)","《国讯》",1945,"上海",1
"明子(1945)","《周报(上海1945)》",1945,"上海",1
"易水(1945)","《周报(上海1945)》",1945,"上海",1
"春光(1945)","《民主周刊(昆明)》",1945,"昆明",1
"晓敷(1945)","《周报(上海1945)》",1945,"上海",1
"晶远(1945)","《民主周刊(昆明)》",1945,"昆明",1
"曹介植(1945)","《周报(上海1945)》",1945,"上海",1
"曹刚(1945)","《周报(上海1945)》",1945,"上海",1
"曹樸(1945)","《民主周刊(昆明)》",1945,"昆明",1
"曾守约(1945)","《中华论坛》",1945,"重庆",1
"曾昭抡(1945)","《民主(重庆)》",1945,"重庆",1
"曾琦(1945)","《民主(重庆)》",1945,"重庆",1
"曾瑞(1945)","《周报(上海1945)》",1945,"上海",1
"月伶(1945)","《周报(上海1945)》",1945,"上海",1
"朝华(1945)","《民主(重庆)》",1945,"重庆",1
"木林(1945)","《国讯》",1945,"上海",1
"朱健飞(1945)","《民主周刊(昆明)》",1945,"昆明",1
"朱彬元(1945)","《周报(上海1945)》",1945,"上海",1
"朱洗(1945)","《周报(上海1945)》",1945,"上海",1
"朱自珍(1945)","《周报(上海1945)》",1945,"上海",1
"李健吾(1945)","《周报(上海1945)》",1945,"上海",1
"李兆(1945)","《民主(上海)》",1945,"上海",1
"李公朴(1945)","《周报(上海1945)》",1945,"上海",1
"李善卷(1945)","《国讯》",1945,"上海",1
"李时中(1945)","《周报(上海1945)》",1945,"上海",1
"李玄伯(1945)","《周报(上海1945)》",1945,"上海",1
"李自强(1945)","《周报(上海1945)》",1945,"上海",1
"杜迈之(1945)","《民主周刊(昆明)》",1945,"昆明",1
"来秋(1945)","《民主周刊(昆明)》",1945,"昆明",1
"杨佑贤(1945)","《民主(重庆)》",1945,"重庆",1
"杨作雨(1945)","《民主(上海)》",1945,"上海",1
"杨动(1945)","《民主(上海)》",1945,"上海",1
"杨学纯(1945)","《民主(上海)》",1945,"上海",1
"杨宗亿(1945)","《民主(上海)》",1945,"上海",1
